SPAM_short_name,iso3c,late,early,coef
bana,CAF,140291.61333333334,125000,1.1223329066666667
bana,CHN,11630966.666666666,9598133.333333334,1.2117946545161558
bana,CIV,581573.5166666667,290582.3333333333,2.0014070022609776
bana,CMR,1134308.9566666668,1317253,0.8611170038456294
bana,COD,805873.6666666666,316475,2.5464054559338547
bana,COG,86017.28333333333,82657.16666666667,1.0406512441954012
bana,COK,12.516666666666667,42.14333333333333,0.2970022937593926
bana,COL,2575931.5566666666,2018770.0666666667,1.2759905643538536
bana,COM,46796.16333333333,58396.10666666667,0.8013575905060337
bana,CPV,5704.666666666667,7700,0.7408658008658009
bana,CRI,2476445.1,1980009,1.250724163375015
bana,CUB,262810.13333333336,248200,1.058864356701585
bana,CYP,5540,6238,0.8881051619108689
bana,CZE,0,0,0
bana,DEU,0,0,0
