SPAM_short_name	SPAM_full_name	item_code	SPAM_super
rest	rest of crops	682	NA
rest	rest of crops	683	NA
rest	rest of crops	684	NA
rest	rest of crops	685	NA
rest	rest of crops	686	NA
rest	rest of crops	687	NA
rest	rest of crops	688	NA
rest	rest of crops	689	NA
rest	rest of crops	690	NA
rest	rest of crops	691	NA
rest	rest of crops	692	NA
rest	rest of crops	693	NA
rest	rest of crops	694	NA
rest	rest of crops	695	NA
rest	rest of crops	696	NA
rest	rest of crops	697	NA
rest	rest of crops	698	NA
rest	rest of crops	699	NA
rest	rest of crops	700	NA
rest	rest of crops	701	NA
rest	rest of crops	702	NA
rest	rest of crops	703	NA
rest	rest of crops	704	NA
rest	rest of crops	705	NA
rest	rest of crops	706	NA
rest	rest of crops	707	NA
rest	rest of crops	708	NA
rest	rest of crops	709	NA
rest	rest of crops	710	NA
rest	rest of crops	711	NA
rest	rest of crops	712	NA
rest	rest of crops	713	NA
rest	rest of crops	714	NA
rest	rest of crops	715	NA
rest	rest of crops	716	NA
rest	rest of crops	717	NA
rest	rest of crops	718	NA
rest	rest of crops	719	NA
rest	rest of crops	720	NA
rest	rest of crops	721	NA
rest	rest of crops	722	NA
rest	rest of crops	723	NA
rest	rest of crops	724	NA
rest	rest of crops	725	NA
rest	rest of crops	726	NA
rest	rest of crops	727	NA
rest	rest of crops	728	NA
rest	rest of crops	729	NA
rest	rest of crops	730	NA
rest	rest of crops	731	NA
rest	rest of crops	732	NA
rest	rest of crops	733	NA
rest	rest of crops	734	NA
rest	rest of crops	735	NA
rest	rest of crops	736	NA
rest	rest of crops	737	NA
rest	rest of crops	738	NA
rest	rest of crops	739	NA
rest	rest of crops	740	NA
rest	rest of crops	741	NA
rest	rest of crops	742	NA
rest	rest of crops	743	NA
rest	rest of crops	744	NA
rest	rest of crops	745	NA
rest	rest of crops	746	NA
rest	rest of crops	747	NA
rest	rest of crops	748	NA
rest	rest of crops	749	NA
rest	rest of crops	750	NA
rest	rest of crops	751	NA
rest	rest of crops	752	NA
rest	rest of crops	753	NA
rest	rest of crops	754	NA
rest	rest of crops	755	NA
rest	rest of crops	756	NA
rest	rest of crops	757	NA
rest	rest of crops	758	NA
rest	rest of crops	759	NA
rest	rest of crops	760	NA
rest	rest of crops	761	NA
rest	rest of crops	762	NA
rest	rest of crops	763	NA
rest	rest of crops	764	NA
rest	rest of crops	765	NA
rest	rest of crops	766	NA
rest	rest of crops	767	NA
rest	rest of crops	768	NA
rest	rest of crops	769	NA
rest	rest of crops	770	NA
rest	rest of crops	771	NA
rest	rest of crops	772	NA
rest	rest of crops	822	NA
rest	rest of crops	823	NA
rest	rest of crops	824	NA
rest	rest of crops	825	NA
rest	rest of crops	827	NA
rest	rest of crops	828	NA
rest	rest of crops	829	NA
rest	rest of crops	830	NA
rest	rest of crops	831	NA
rest	rest of crops	832	NA
rest	rest of crops	833	NA
rest	rest of crops	834	NA
rest	rest of crops	835	NA
rest	rest of crops	836	NA
rest	rest of crops	837	NA
rest	rest of crops	838	NA
rest	rest of crops	839	NA
