iso3c,animal,system,product,ingredient,ingredient_demand
CHL,salmon,aquaculture,meat,micro ingredients,45168.347
CHL,salmon,aquaculture,meat,other,4406.668
CHL,salmon,aquaculture,meat,pea flour,27541.675000000003
CHL,salmon,aquaculture,meat,pea protein,15423.338
CHL,salmon,aquaculture,meat,rapeseed and camelina oil,202706.728
CHL,salmon,aquaculture,meat,soy protein concentrate,230248.403
CHL,salmon,aquaculture,meat,soybean oil,4406.668
CHL,salmon,aquaculture,meat,sunflower,37456.678
CHL,salmon,aquaculture,meat,wheat,71608.355
CHL,salmon,aquaculture,meat,wheat gluten,107963.366
DNK,salmon,aquaculture,meat,coconut oil,2.522
DNK,salmon,aquaculture,meat,corn gluten,17.654
DNK,salmon,aquaculture,meat,faba beans,90.792
DNK,salmon,aquaculture,meat,"fish meal, cut offs",81.21310586865638
DNK,salmon,aquaculture,meat,"fish meal, forage fish",216.56828231641705
DNK,salmon,aquaculture,meat,"fish oil, cut offs",49.220064162822055
DNK,salmon,aquaculture,meat,"fish oil, forage fish",204.26326627571152
DNK,salmon,aquaculture,meat,guar protein,108.446
DNK,salmon,aquaculture,meat,linseed oil,32.786
DNK,salmon,aquaculture,meat,micro ingredients,103.402
DNK,salmon,aquaculture,meat,other,10.088
DNK,salmon,aquaculture,meat,pea flour,63.05
DNK,salmon,aquaculture,meat,pea protein,35.308
DNK,salmon,aquaculture,meat,rapeseed and camelina oil,464.048
DNK,salmon,aquaculture,meat,soy protein concentrate,527.098
DNK,salmon,aquaculture,meat,soybean oil,10.088
DNK,salmon,aquaculture,meat,sunflower,85.748
DNK,salmon,aquaculture,meat,wheat,163.93
DNK,salmon,aquaculture,meat,wheat gluten,247.156
FRO,salmon,aquaculture,meat,coconut oil,115.635
FRO,salmon,aquaculture,meat,corn gluten,809.445
FRO,salmon,aquaculture,meat,faba beans,4162.86
FRO,salmon,aquaculture,meat,"fish meal, cut offs",3723.662766503601
FRO,salmon,aquaculture,meat,"fish meal, forage fish",9929.767377342936
FRO,salmon,aquaculture,meat,"fish oil, cut offs",2256.7653130324857
FRO,salmon,aquaculture,meat,"fish oil, forage fish",9365.576049084815
FRO,salmon,aquaculture,meat,guar protein,4972.304999999999
FRO,salmon,aquaculture,meat,linseed oil,1503.255
FRO,salmon,aquaculture,meat,micro ingredients,4741.035
FRO,salmon,aquaculture,meat,other,462.54
FRO,salmon,aquaculture,meat,pea flour,2890.875
FRO,salmon,aquaculture,meat,pea protein,1618.89
FRO,salmon,aquaculture,meat,rapeseed and camelina oil,21276.84
FRO,salmon,aquaculture,meat,soy protein concentrate,24167.715
FRO,salmon,aquaculture,meat,soybean oil,462.54
FRO,salmon,aquaculture,meat,sunflower,3931.59
FRO,salmon,aquaculture,meat,wheat,7516.275
FRO,salmon,aquaculture,meat,wheat gluten,11332.23
ISL,salmon,aquaculture,meat,coconut oil,44.6433
ISL,salmon,aquaculture,meat,corn gluten,312.5031
ISL,salmon,aquaculture,meat,faba beans,1607.1588
ISL,salmon,aquaculture,meat,"fish meal, cut offs",1437.5975611523347
ISL,salmon,aquaculture,meat,"fish meal, forage fish",3833.5934964062258
ISL,salmon,aquaculture,meat,"fish oil, cut offs",871.2712491832332
ISL,salmon,aquaculture,meat,"fish oil, forage fish",3615.7756841104183
ISL,salmon,aquaculture,meat,guar protein,1919.6619
ISL,salmon,aquaculture,meat,linseed oil,580.3629
ISL,salmon,aquaculture,meat,micro ingredients,1830.3753
ISL,salmon,aquaculture,meat,other,178.5732
ISL,salmon,aquaculture,meat,pea flour,1116.0825000000002
ISL,salmon,aquaculture,meat,pea protein,625.0062
ISL,salmon,aquaculture,meat,rapeseed and camelina oil,8214.3672
ISL,salmon,aquaculture,meat,soy protein concentrate,9330.4497
ISL,salmon,aquaculture,meat,soybean oil,178.5732
ISL,salmon,aquaculture,meat,sunflower,1517.8722000000002
ISL,salmon,aquaculture,meat,wheat,2901.8145000000004
ISL,salmon,aquaculture,meat,wheat gluten,4375.0434000000005
IRL,salmon,aquaculture,meat,coconut oil,16.731
IRL,salmon,aquaculture,meat,corn gluten,117.117
IRL,salmon,aquaculture,meat,faba beans,602.3159999999999
IRL,salmon,aquaculture,meat,"fish meal, cut offs",538.7694188296948
IRL,salmon,aquaculture,meat,"fish meal, forage fish",1436.7184502125192
IRL,salmon,aquaculture,meat,"fish oil, cut offs",326.5269205028453
IRL,salmon,aquaculture,meat,"fish oil, forage fish",1355.0867200868079
IRL,salmon,aquaculture,meat,guar protein,719.433
IRL,salmon,aquaculture,meat,linseed oil,217.503
IRL,salmon,aquaculture,meat,micro ingredients,685.971
IRL,salmon,aquaculture,meat,other,66.924
IRL,salmon,aquaculture,meat,pea flour,418.275
IRL,salmon,aquaculture,meat,pea protein,234.234
IRL,salmon,aquaculture,meat,rapeseed and camelina oil,3078.504
IRL,salmon,aquaculture,meat,soy protein concentrate,3496.779
IRL,salmon,aquaculture,meat,soybean oil,66.924
IRL,salmon,aquaculture,meat,sunflower,568.854
IRL,salmon,aquaculture,meat,wheat,1087.515
IRL,salmon,aquaculture,meat,wheat gluten,1639.638
PRK,salmon,aquaculture,meat,coconut oil,0.078
PRK,salmon,aquaculture,meat,corn gluten,0.546
PRK,salmon,aquaculture,meat,faba beans,2.808
PRK,salmon,aquaculture,meat,"fish meal, cut offs",2.5117455423295794
PRK,salmon,aquaculture,meat,"fish meal, forage fish",6.697988112878877
PRK,salmon,aquaculture,meat,"fish oil, cut offs",1.5222700256542905
PRK,salmon,aquaculture,meat,"fish oil, forage fish",6.317420606465305
PRK,salmon,aquaculture,meat,guar protein,3.3539999999999996
PRK,salmon,aquaculture,meat,linseed oil,1.014
PRK,salmon,aquaculture,meat,micro ingredients,3.198
PRK,salmon,aquaculture,meat,other,0.312
PRK,salmon,aquaculture,meat,pea flour,1.95
PRK,salmon,aquaculture,meat,pea protein,1.092
PRK,salmon,aquaculture,meat,rapeseed and camelina oil,14.352
PRK,salmon,aquaculture,meat,soy protein concentrate,16.302
PRK,salmon,aquaculture,meat,soybean oil,0.312
PRK,salmon,aquaculture,meat,sunflower,2.652
PRK,salmon,aquaculture,meat,wheat,5.07
PRK,salmon,aquaculture,meat,wheat gluten,7.644
NOR,salmon,aquaculture,meat,coconut oil,1804.963992
NOR,salmon,aquaculture,meat,corn gluten,12634.747944
NOR,salmon,aquaculture,meat,faba beans,64978.703711999995
NOR,salmon,aquaculture,meat,"fish meal, cut offs",58123.20847399234
NOR,salmon,aquaculture,meat,"fish meal, forage fish",154995.22259731288
NOR,salmon,aquaculture,meat,"fish oil, cut offs",35226.18695393475
NOR,salmon,aquaculture,meat,"fish oil, forage fish",146188.67585882926
NOR,salmon,aquaculture,meat,guar protein,77613.451656
NOR,salmon,aquaculture,meat,linseed oil,23464.531896
NOR,salmon,aquaculture,meat,micro ingredients,74003.52367200001
NOR,salmon,aquaculture,meat,other,7219.855968000001
NOR,salmon,aquaculture,meat,pea flour,45124.0998
NOR,salmon,aquaculture,meat,pea protein,25269.495888
NOR,salmon,aquaculture,meat,rapeseed and camelina oil,332113.374528
NOR,salmon,aquaculture,meat,soy protein concentrate,377237.474328
NOR,salmon,aquaculture,meat,soybean oil,7219.855968000001
NOR,salmon,aquaculture,meat,sunflower,61368.77572800001
NOR,salmon,aquaculture,meat,wheat,117322.65948000002
NOR,salmon,aquaculture,meat,wheat gluten,176886.471216
RUS,salmon,aquaculture,meat,coconut oil,14.1115
RUS,salmon,aquaculture,meat,corn gluten,98.7805
RUS,salmon,aquaculture,meat,faba beans,508.0139999999999
RUS,salmon,aquaculture,meat,"fish meal, cut offs",454.41663103312635
RUS,salmon,aquaculture,meat,"fish meal, forage fish",1211.7776827550035
RUS,salmon,aquaculture,meat,"fish oil, cut offs",275.40401880795537
RUS,salmon,aquaculture,meat,"fish oil, forage fish",1142.9266780530147
RUS,salmon,aquaculture,meat,guar protein,606.7945
RUS,salmon,aquaculture,meat,linseed oil,183.4495
RUS,salmon,aquaculture,meat,micro ingredients,578.5715
RUS,salmon,aquaculture,meat,other,56.446
RUS,salmon,aquaculture,meat,pea flour,352.7875
RUS,salmon,aquaculture,meat,pea protein,197.561
RUS,salmon,aquaculture,meat,rapeseed and camelina oil,2596.516
RUS,salmon,aquaculture,meat,soy protein concentrate,2949.3035
RUS,salmon,aquaculture,meat,soybean oil,56.446
RUS,salmon,aquaculture,meat,sunflower,479.79100000000005
RUS,salmon,aquaculture,meat,wheat,917.2475
RUS,salmon,aquaculture,meat,wheat gluten,1382.927
CHE,salmon,aquaculture,meat,coconut oil,0.20722000000000004
CHE,salmon,aquaculture,meat,corn gluten,1.4505400000000002
CHE,salmon,aquaculture,meat,faba beans,7.45992
CHE,salmon,aquaculture,meat,"fish meal, cut offs",6.672870657455583
CHE,salmon,aquaculture,meat,"fish meal, forage fish",17.794321753214884
CHE,salmon,aquaculture,meat,"fish oil, cut offs",4.0441640348215655
CHE,salmon,aquaculture,meat,"fish oil, forage fish",16.783280744509497
CHE,salmon,aquaculture,meat,guar protein,8.91046
CHE,salmon,aquaculture,meat,linseed oil,2.6938600000000004
CHE,salmon,aquaculture,meat,micro ingredients,8.496020000000001
CHE,salmon,aquaculture,meat,other,0.8288800000000002
CHE,salmon,aquaculture,meat,pea flour,5.180500000000001
CHE,salmon,aquaculture,meat,pea protein,2.9010800000000003
CHE,salmon,aquaculture,meat,rapeseed and camelina oil,38.12848
CHE,salmon,aquaculture,meat,soy protein concentrate,43.308980000000005
CHE,salmon,aquaculture,meat,soybean oil,0.8288800000000002
CHE,salmon,aquaculture,meat,sunflower,7.045480000000001
CHE,salmon,aquaculture,meat,wheat,13.469300000000002
CHE,salmon,aquaculture,meat,wheat gluten,20.30756
ARE,salmon,aquaculture,meat,coconut oil,0.39
ARE,salmon,aquaculture,meat,corn gluten,2.73
ARE,salmon,aquaculture,meat,faba beans,14.04
ARE,salmon,aquaculture,meat,"fish meal, cut offs",12.558727711647895
ARE,salmon,aquaculture,meat,"fish meal, forage fish",33.48994056439439
ARE,salmon,aquaculture,meat,"fish oil, cut offs",7.611350128271452
ARE,salmon,aquaculture,meat,"fish oil, forage fish",31.587103032326528
ARE,salmon,aquaculture,meat,guar protein,16.77
ARE,salmon,aquaculture,meat,linseed oil,5.069999999999999
ARE,salmon,aquaculture,meat,micro ingredients,15.99
ARE,salmon,aquaculture,meat,other,1.56
ARE,salmon,aquaculture,meat,pea flour,9.75
ARE,salmon,aquaculture,meat,pea protein,5.46
ARE,salmon,aquaculture,meat,rapeseed and camelina oil,71.76
ARE,salmon,aquaculture,meat,soy protein concentrate,81.50999999999999
ARE,salmon,aquaculture,meat,soybean oil,1.56
ARE,salmon,aquaculture,meat,sunflower,13.260000000000002
ARE,salmon,aquaculture,meat,wheat,25.35
ARE,salmon,aquaculture,meat,wheat gluten,38.22
GBR,salmon,aquaculture,meat,coconut oil,231.6
GBR,salmon,aquaculture,meat,corn gluten,1621.2
GBR,salmon,aquaculture,meat,faba beans,8337.599999999999
GBR,salmon,aquaculture,meat,"fish meal, cut offs",7457.952148763212
GBR,salmon,aquaculture,meat,"fish meal, forage fish",19887.872396701896
GBR,salmon,aquaculture,meat,"fish oil, cut offs",4519.970999250431
GBR,salmon,aquaculture,meat,"fish oil, forage fish",18757.87964688929
GBR,salmon,aquaculture,meat,guar protein,9958.8
GBR,salmon,aquaculture,meat,linseed oil,3010.7999999999997
GBR,salmon,aquaculture,meat,micro ingredients,9495.6
GBR,salmon,aquaculture,meat,other,926.4
GBR,salmon,aquaculture,meat,pea flour,5790
GBR,salmon,aquaculture,meat,pea protein,3242.4
GBR,salmon,aquaculture,meat,rapeseed and camelina oil,42614.4
GBR,salmon,aquaculture,meat,soy protein concentrate,48404.4
GBR,salmon,aquaculture,meat,soybean oil,926.4
GBR,salmon,aquaculture,meat,sunflower,7874.4
GBR,salmon,aquaculture,meat,wheat,15054
GBR,salmon,aquaculture,meat,wheat gluten,22696.8
USA,salmon,aquaculture,meat,coconut oil,21.437676000000003
USA,salmon,aquaculture,meat,corn gluten,150.06373200000002
USA,salmon,aquaculture,meat,faba beans,771.756336
USA,salmon,aquaculture,meat,"fish meal, cut offs",690.3331683449463
USA,salmon,aquaculture,meat,"fish meal, forage fish",1840.8884489198565
USA,salmon,aquaculture,meat,"fish oil, cut offs",418.38373839087654
USA,salmon,aquaculture,meat,"fish oil, forage fish",1736.2925143221378
USA,salmon,aquaculture,meat,guar protein,921.820068
USA,salmon,aquaculture,meat,linseed oil,278.689788
USA,salmon,aquaculture,meat,micro ingredients,878.9447160000002
USA,salmon,aquaculture,meat,other,85.75070400000001
USA,salmon,aquaculture,meat,pea flour,535.9419000000001
USA,salmon,aquaculture,meat,pea protein,300.12746400000003
USA,salmon,aquaculture,meat,rapeseed and camelina oil,3944.532384000001
USA,salmon,aquaculture,meat,soy protein concentrate,4480.474284000001
USA,salmon,aquaculture,meat,soybean oil,85.75070400000001
USA,salmon,aquaculture,meat,sunflower,728.8809840000001
USA,salmon,aquaculture,meat,wheat,1393.4489400000002
USA,salmon,aquaculture,meat,wheat gluten,2100.892248000001
