"iso3c_producing","diet","fcr_type","source_ingredient","FAOSTAT_name","FAO_code","total_crop_demand_ms","total_crop_demand_ge","total_crop_demand_econ"
"ARE","fish-dominant","efficient","wheat","Wheat",15,0.000306797341950371,0.000306797341950371,0.000306797341950371
"ARE","fish-dominant","efficient","wheat gluten","Wheat",15,0.000569766492193547,0.000634839598956235,0.00145549815890962
"ARE","fish-dominant","regular","wheat","Wheat",15,0.000368167824214461,0.000368167824214461,0.000368167824214461
"ARE","fish-dominant","regular","wheat gluten","Wheat",15,0.000683740244969713,0.000761830309177536,0.00174665004236116
"ARE","plant-dominant","efficient","coconut oil","Coconuts, in shell",249,0.690028600980168,1.40325219907653,2.48673606930114
"ARE","plant-dominant","efficient","linseed oil","Linseed",333,9.18783537183896,14.8231600922426,13.4591777238803
"ARE","plant-dominant","efficient","wheat","Wheat",15,0.000284883246096774,0.000284883246096774,0.000284883246096774
"ARE","plant-dominant","efficient","wheat gluten","Wheat",15,0.00042951627873052,0.000478571389982393,0.00109722168902417
"ARE","plant-dominant","regular","coconut oil","Coconuts, in shell",249,0.772761506989755,1.57149904004666,2.78489023450517
"ARE","plant-dominant","regular","linseed oil","Linseed",333,10.2894365506454,16.6004242649661,15.0729034216476
"ARE","plant-dominant","regular","wheat","Wheat",15,0.000341870122484856,0.000341870122484856,0.000341870122484856
"ARE","plant-dominant","regular","wheat gluten","Wheat",15,0.000515434953900245,0.000574302848456912,0.00131670541654918
"ARG","fish-dominant","efficient","corn gluten meal","Maize (corn)",56,19241.304215052,24225.2899450291,10182.2288654393
"ARG","fish-dominant","efficient","faba beans","Broad beans and horse beans, dry",181,5060.81433994644,5060.81433994644,5060.81433994644
"ARG","fish-dominant","efficient","soybean meal","Soya beans",236,116672.99468743,88197.9231421836,98480.7649459336
"ARG","fish-dominant","efficient","wheat","Wheat",15,18400.0590338877,18400.0590338877,18400.0590338877
"ARG","fish-dominant","efficient","wheat gluten","Wheat",15,34171.5382057914,38074.2741237108,87292.9728706187
"ARG","fish-dominant","regular","corn gluten meal","Maize (corn)",56,26788.715949456,33727.6727126912,14176.2135123473
"ARG","fish-dominant","regular","faba beans","Broad beans and horse beans, dry",181,7071.12541203258,7071.12541203258,7071.12541203258
"ARG","fish-dominant","regular","soybean meal","Soya beans",236,163109.779306563,123301.401644477,137676.89669153
"ARG","fish-dominant","regular","wheat","Wheat",15,25760.0700224207,25760.0700224207,25760.0700224207
"ARG","fish-dominant","regular","wheat gluten","Wheat",15,47840.1300416384,53303.9576489012,122210.102123639
"ARG","plant-dominant","efficient","coconut oil","Coconuts, in shell",249,21.4837244421152,43.6896144955865,77.4233885338179
"ARG","plant-dominant","efficient","corn gluten meal","Maize (corn)",56,3367.22823763409,4239.42574038009,1781.89005145187
"ARG","plant-dominant","efficient","faba beans","Broad beans and horse beans, dry",181,9109.4658119036,9109.4658119036,9109.4658119036
"ARG","plant-dominant","efficient","guar meal","Other pulses n.e.c.",211,10880.7508308849,11593.315594238,4877.57795867252
"ARG","plant-dominant","efficient","linseed oil","Linseed",333,286.059046056527,461.512300114428,419.04533381162
"ARG","plant-dominant","efficient","pea flour","Peas, dry; Peas, green",187,7442.37402933301,7442.37402933301,7442.37402933301
"ARG","plant-dominant","efficient","pea protein concentrate","Peas, dry; Peas, green",187,4268.15667224399,5296.5270787597,9142.26368286588
"ARG","plant-dominant","efficient","soy oil","Soya beans",236,2790.95343844327,4730.17759294654,4615.37913873523
"ARG","plant-dominant","efficient","soy protein concentrate","Soya beans",236,176498.805780193,152178.364656514,154942.481786993
"ARG","plant-dominant","efficient","sunflower meal","Sunflower seed",267,30964.003134697,16597.5271551074,12843.4419178063
"ARG","plant-dominant","efficient","wheat","Wheat",15,17085.7691028957,17085.7691028957,17085.7691028957
"ARG","plant-dominant","efficient","wheat gluten","Wheat",15,25760.0826474427,28702.1451086435,65805.4718563125
"ARG","plant-dominant","regular","coconut oil","Coconuts, in shell",249,22.303533845348,45.3567908217213,80.3778307266133
"ARG","plant-dominant","regular","corn gluten meal","Maize (corn)",56,4688.0252911548,5902.34272472096,2480.83736466077
"ARG","plant-dominant","regular","faba beans","Broad beans and horse beans, dry",181,12728.0257416586,12728.0257416586,12728.0257416586
"ARG","plant-dominant","regular","guar meal","Other pulses n.e.c.",211,15202.91963587,16198.5370340611,6815.10190573485
"ARG","plant-dominant","regular","linseed oil","Linseed",333,296.974932474118,479.123404946872,435.035918031094
"ARG","plant-dominant","regular","pea flour","Peas, dry; Peas, green",187,10398.7138412244,10398.7138412244,10398.7138412244
"ARG","plant-dominant","regular","pea protein concentrate","Peas, dry; Peas, green",187,5963.59974508772,7400.47049869305,12773.8519354772
"ARG","plant-dominant","regular","soy oil","Soya beans",236,3901.77521901234,6612.82608999048,6452.3369332554
"ARG","plant-dominant","regular","soy protein concentrate","Soya beans",236,246746.74148722,212746.570368369,216610.828214306
"ARG","plant-dominant","regular","sunflower meal","Sunflower seed",267,43282.5791425146,23200.610707082,17953.0175362508
"ARG","plant-dominant","regular","wheat","Wheat",15,23920.0650208192,23920.0650208192,23920.0650208192
"ARG","plant-dominant","regular","wheat gluten","Wheat",15,36064.0980313889,40182.9834584025,92127.6154470513
"ARM","fish-dominant","efficient","corn gluten meal","Maize (corn)",56,0.000000925490936904982,0.00000116521655899401,0.000000489756849490719
"ARM","fish-dominant","efficient","faba beans","Broad beans and horse beans, dry",181,0.00970027898799987,0.00970027898799987,0.00970027898799987
"ARM","fish-dominant","efficient","wheat","Wheat",15,0.00763036375554726,0.00763036375554726,0.00763036375554726
"ARM","fish-dominant","efficient","wheat gluten","Wheat",15,0.0141706755460163,0.0157891102825963,0.0361997282225679
"ARM","fish-dominant","regular","corn gluten meal","Maize (corn)",56,0.00000120313821797648,0.00000151478152669222,0.000000636683904337934
"ARM","fish-dominant","regular","faba beans","Broad beans and horse beans, dry",181,0.0118976855757497,0.0118976855757497,0.0118976855757497
