"iso3c_producing","diet","fcr_type","source_ingredient","FAOSTAT_name","FAO_code","total_crop_demand_ms","total_crop_demand_ge","total_crop_demand_econ"
"ALB","plant-dominant","efficient","faba beans","Broad beans and horse beans, dry",181,0.00639104055228584,0.00639104055228584,0.00639104055228584
"ALB","plant-dominant","efficient","guar meal","Other pulses n.e.c.",211,0.00763374288189697,0.00813366575254095,0.0034220226711952
"ALB","plant-dominant","efficient","linseed oil","Linseed",333,0.000892611549288819,0.00144009152970321,0.00130757866179113
"ALB","plant-dominant","efficient","pea flour","Peas, dry; Peas, green",187,0.00522143835971065,0.00522143835971065,0.00522143835971065
"ALB","plant-dominant","efficient","pea protein concentrate","Peas, dry; Peas, green",187,0.00299446344484611,0.00371594998494864,0.00641405096010522
"ALB","plant-dominant","efficient","soy oil","Soya beans",236,0.00000137216574128424,0.00000232558076886152,0.00000226914037689675
"ALB","plant-dominant","efficient","soy protein concentrate","Soya beans",236,0.0000867752257465991,0.0000748181376550664,0.0000761771093882015
"ALB","plant-dominant","efficient","sunflower meal","Sunflower seed",267,0.11057058895135,0.059268769115315,0.0458631569967446
"ALB","plant-dominant","efficient","wheat","Wheat",15,0.00110838929518825,0.00110838929518825,0.00110838929518825
"ALB","plant-dominant","efficient","wheat gluten","Wheat",15,0.00167111001428382,0.00186196771100978,0.00426893750764705
"ALB","plant-dominant","regular","canola oil","Rape or colza seed",270,0.0000000121224019998748,0.0000000191042777012625,0.0000000203146163228992
"ALB","plant-dominant","regular","coconut oil","Coconuts, in shell",249,0.0000744858674114475,0.000151475543327864,0.000268433356069762
"ALB","plant-dominant","regular","corn gluten meal","Maize (corn)",56,0.0000193870943826471,0.0000244088434631094,0.0000102593789814705
"ALB","plant-dominant","regular","faba beans","Broad beans and horse beans, dry",181,0.00710115616920649,0.00710115616920649,0.00710115616920649
"ALB","plant-dominant","regular","guar meal","Other pulses n.e.c.",211,0.00848193653544108,0.00903740639171217,0.00380224741243911
"ALB","plant-dominant","regular","linseed oil","Linseed",333,0.00099179061032091,0.00160010169967024,0.00145286517976792
"ALB","plant-dominant","regular","pea flour","Peas, dry; Peas, green",187,0.00580159817745628,0.00580159817745628,0.00580159817745628
"ALB","plant-dominant","regular","pea protein concentrate","Peas, dry; Peas, green",187,0.00332718160538457,0.0041288333166096,0.0071267232890058
"ALB","plant-dominant","regular","soy oil","Soya beans",236,0.00000152462860142693,0.00000258397863206836,0.00000252126708544084
"ALB","plant-dominant","regular","soy protein concentrate","Soya beans",236,0.0000964169174962212,0.0000831312640611849,0.0000846412326535572
"ALB","plant-dominant","regular","sunflower meal","Sunflower seed",267,0.122856209945944,0.0658541879059056,0.0509590633297162
"ALB","plant-dominant","regular","wheat","Wheat",15,0.00123154366132028,0.00123154366132028,0.00123154366132028
"ALB","plant-dominant","regular","wheat gluten","Wheat",15,0.0018567889047598,0.00206885301223309,0.00474326389738562
"ARE","fish-dominant","efficient","wheat","Wheat",15,0.000000128862325973493,0.000000128862325973493,0.000000128862325973493
"ARE","fish-dominant","efficient","wheat gluten","Wheat",15,0.000000239315748236488,0.000000266648031633903,0.000000611344534521979
"ARE","fish-dominant","regular","wheat","Wheat",15,0.00000014318036219277,0.00000014318036219277,0.00000014318036219277
"ARE","fish-dominant","regular","wheat gluten","Wheat",15,0.000000265906386929431,0.000000296275590704337,0.000000679271705024421
"ARE","plant-dominant","efficient","coconut oil","Coconuts, in shell",249,0.0195649139081547,0.0397874934855784,0.0705083485511614
"ARE","plant-dominant","efficient","linseed oil","Linseed",333,0.260509793067975,0.420292507643254,0.381618462000303
"ARE","plant-dominant","efficient","wheat","Wheat",15,0.000000119657874118244,0.000000119657874118244,0.000000119657874118244
"ARE","plant-dominant","efficient","wheat gluten","Wheat",15,0.000000180407256362891,0.000000201011593077866,0.000000460859726024261
"ARE","plant-dominant","regular","coconut oil","Coconuts, in shell",249,0.021738793231283,0.0442083260950871,0.0783426095012904
"ARE","plant-dominant","regular","linseed oil","Linseed",333,0.289455325631083,0.466991675159171,0.424020513333669
"ARE","plant-dominant","regular","wheat","Wheat",15,0.000000132953193464715,0.000000132953193464715,0.000000132953193464715
"ARE","plant-dominant","regular","wheat gluten","Wheat",15,0.000000200452507069879,0.000000223346214530962,0.000000512066362249179
"ARG","fish-dominant","efficient","corn gluten meal","Maize (corn)",56,24553.6428454918,30913.6589958085,12993.4441105856
"ARG","fish-dominant","efficient","faba beans","Broad beans and horse beans, dry",181,8652.21593583893,8652.21593583893,8652.21593583893
"ARG","fish-dominant","efficient","soybean meal","Soya beans",236,93621.7865842322,70772.5653199474,79023.8150920922
"ARG","fish-dominant","efficient","wheat","Wheat",15,10233.4228933751,10233.4228933751,10233.4228933751
"ARG","fish-dominant","efficient","wheat gluten","Wheat",15,19004.9282305537,21175.4836084294,48549.0783132677
"ARG","fish-dominant","regular","corn gluten meal","Maize (corn)",56,27281.8253838798,34348.5099953428,14437.1601228729
"ARG","fish-dominant","regular","faba beans","Broad beans and horse beans, dry",181,9613.57326204326,9613.57326204326,9613.57326204326
"ARG","fish-dominant","regular","soybean meal","Soya beans",236,104024.207315814,78636.1836888305,87804.2389912136
"ARG","fish-dominant","regular","wheat","Wheat",15,11370.4698815279,11370.4698815279,11370.4698815279
"ARG","fish-dominant","regular","wheat gluten","Wheat",15,21116.5869228375,23528.3151204771,53943.4203480752
"ARG","plant-dominant","efficient","coconut oil","Coconuts, in shell",249,4.24724014326997,8.6372493293521,15.3062717172165
