iso3c,diet,animal_system,SPAM_super,product,tonnes_product
IRL,plant-dominant,salmon_aquaculture_meat,maiz,maize gluten,139.425
IRL,plant-dominant,salmon_aquaculture_meat,soyb,oil of soya bean,68.9938144329897
IRL,plant-dominant,salmon_aquaculture_meat,soyb,soy protein concentrate,3973.6125
IRL,plant-dominant,salmon_aquaculture_meat,whea,wheat,1087.515
IRL,plant-dominant,salmon_aquaculture_meat,whea,wheat gluten,1656.1999999999998
IRL,plant-dominant,salmon_aquaculture_meat,xoil,cake of sunflower seed,646.4250000000001
IRL,plant-dominant,salmon_aquaculture_meat,xoil,oil of linseed,221.94183673469388
IRL,plant-dominant,salmon_aquaculture_meat,xoil,oil of rapeseed,3141.3306122448976
IRL,plant-dominant,salmon_aquaculture_meat,xpul,faba bean,602.3159999999999
IRL,plant-dominant,salmon_aquaculture_meat,xpul,guar protein,817.5375
IRL,plant-dominant,salmon_aquaculture_meat,xpul,pea other,475.3125
IRL,plant-dominant,salmon_aquaculture_meat,xpul,pea protein,266.175
ISL,fish-dominant,salmon_aquaculture_meat,cnut,oil of coconuts,0
ISL,fish-dominant,salmon_aquaculture_meat,maiz,maize gluten,2125.8714285714286
ISL,fish-dominant,salmon_aquaculture_meat,soyb,oil of soya bean,0
ISL,fish-dominant,salmon_aquaculture_meat,soyb,soy protein concentrate,0
ISL,fish-dominant,salmon_aquaculture_meat,soyb,soybean meal,8624.273863636365
ISL,fish-dominant,salmon_aquaculture_meat,whea,wheat,3125.0310000000004
ISL,fish-dominant,salmon_aquaculture_meat,whea,wheat gluten,5862.251515151516
ISL,fish-dominant,salmon_aquaculture_meat,xoil,cake of sunflower seed,0
ISL,fish-dominant,salmon_aquaculture_meat,xoil,oil of linseed,0
ISL,fish-dominant,salmon_aquaculture_meat,xoil,oil of rapeseed,0
ISL,fish-dominant,salmon_aquaculture_meat,xpul,faba bean,892.8660000000001
ISL,fish-dominant,salmon_aquaculture_meat,xpul,guar protein,0
ISL,fish-dominant,salmon_aquaculture_meat,xpul,pea other,0
ISL,fish-dominant,salmon_aquaculture_meat,xpul,pea protein,0
ISL,plant-dominant,salmon_aquaculture_meat,cnut,oil of coconuts,212.58714285714285
ISL,plant-dominant,salmon_aquaculture_meat,maiz,maize gluten,372.02750000000003
ISL,plant-dominant,salmon_aquaculture_meat,soyb,oil of soya bean,184.0960824742268
ISL,plant-dominant,salmon_aquaculture_meat,soyb,soy protein concentrate,10602.78375
ISL,plant-dominant,salmon_aquaculture_meat,whea,wheat,2901.814500000001
ISL,plant-dominant,salmon_aquaculture_meat,whea,wheat gluten,4419.235757575758
ISL,plant-dominant,salmon_aquaculture_meat,xoil,cake of sunflower seed,1724.854772727273
ISL,plant-dominant,salmon_aquaculture_meat,xoil,oil of linseed,592.2070408163264
ISL,plant-dominant,salmon_aquaculture_meat,xoil,oil of rapeseed,8382.007346938777
ISL,plant-dominant,salmon_aquaculture_meat,xpul,faba bean,1607.1588000000002
ISL,plant-dominant,salmon_aquaculture_meat,xpul,guar protein,2181.433977272727
ISL,plant-dominant,salmon_aquaculture_meat,xpul,pea other,1268.2755681818182
ISL,plant-dominant,salmon_aquaculture_meat,xpul,pea protein,710.2343181818183
NOR,fish-dominant,salmon_aquaculture_meat,cnut,oil of coconuts,0
NOR,fish-dominant,salmon_aquaculture_meat,maiz,maize gluten,85950.6662857143
NOR,fish-dominant,salmon_aquaculture_meat,soyb,oil of soya bean,0
NOR,fish-dominant,salmon_aquaculture_meat,soyb,soy protein concentrate,0
NOR,fish-dominant,salmon_aquaculture_meat,soyb,soybean meal,348686.22572727274
NOR,fish-dominant,salmon_aquaculture_meat,whea,wheat,126347.47944000002
NOR,fish-dominant,salmon_aquaculture_meat,whea,wheat gluten,237015.4736969697
NOR,fish-dominant,salmon_aquaculture_meat,xoil,cake of sunflower seed,0
NOR,fish-dominant,salmon_aquaculture_meat,xoil,oil of linseed,0
