"iso3c_consuming","iso3c_producing","GAEZ_category","prop_of_supply","animal_system","diet","source_ingredient","consuming_ingredient_consumed_tonnes","raw_material","FAOSTAT_name","FAO_code","map_spam_code","producing_ingredient_consumed_tonnes"
"AUS","BTN","CropsNES",0.0000000166470918601467,"salmon_aquaculture_meat","plant-dominant","linseed oil",1217.916518,"flax","Linseed",333,"ooil",0.000020274768153136
"AUS","BTN","CropsNES",0.0000000166470918601467,"salmon_aquaculture_meat","fish-dominant","coconut oil",0,"coconut","Coconuts, in shell",249,"cnut",0
"AUS","BTN","CropsNES",0.0000000166470918601467,"salmon_aquaculture_meat","fish-dominant","linseed oil",0,"flax","Linseed",333,"ooil",0
"AUS","BOL","CropsNES",0.000376224276039315,"salmon_aquaculture_meat","plant-dominant","coconut oil",93.685886,"coconut","Coconuts, in shell",249,"cnut",0.0352469046354518
"AUS","BOL","CropsNES",0.000376224276039315,"salmon_aquaculture_meat","plant-dominant","linseed oil",1217.916518,"flax","Linseed",333,"ooil",0.458209760260873
"AUS","BOL","CropsNES",0.000376224276039315,"salmon_aquaculture_meat","fish-dominant","coconut oil",0,"coconut","Coconuts, in shell",249,"cnut",0
"AUS","BOL","CropsNES",0.000376224276039315,"salmon_aquaculture_meat","fish-dominant","linseed oil",0,"flax","Linseed",333,"ooil",0
"AUS","BRA","CropsNES",0.0000426165551619755,"salmon_aquaculture_meat","plant-dominant","coconut oil",93.685886,"coconut","Coconuts, in shell",249,"cnut",0.00399256972861755
"AUS","BRA","CropsNES",0.0000426165551619755,"salmon_aquaculture_meat","plant-dominant","linseed oil",1217.916518,"flax","Linseed",333,"ooil",0.0519034064720281
"AUS","BRA","CropsNES",0.0000426165551619755,"salmon_aquaculture_meat","fish-dominant","coconut oil",0,"coconut","Coconuts, in shell",249,"cnut",0
"AUS","BRA","CropsNES",0.0000426165551619755,"salmon_aquaculture_meat","fish-dominant","linseed oil",0,"flax","Linseed",333,"ooil",0
"AUS","BRA","Maize",0.0240345079580926,"salmon_aquaculture_meat","plant-dominant","corn gluten meal",655.801202,"maize","Maize (corn)",56,"maiz",15.7618592083957
"AUS","BRA","Maize",0.0240345079580926,"salmon_aquaculture_meat","fish-dominant","corn gluten meal",3747.43544,"maize","Maize (corn)",56,"maiz",90.0677669051184
"AUS","SLB","CropsNES",0.0000417842005689682,"salmon_aquaculture_meat","plant-dominant","coconut oil",93.685886,"coconut","Coconuts, in shell",249,"cnut",0.00391458985110549
"AUS","SLB","CropsNES",0.0000417842005689682,"salmon_aquaculture_meat","plant-dominant","linseed oil",1217.916518,"flax","Linseed",333,"ooil",0.0508896680643713
"AUS","SLB","CropsNES",0.0000417842005689682,"salmon_aquaculture_meat","fish-dominant","coconut oil",0,"coconut","Coconuts, in shell",249,"cnut",0
"AUS","SLB","CropsNES",0.0000417842005689682,"salmon_aquaculture_meat","fish-dominant","linseed oil",0,"flax","Linseed",333,"ooil",0
"AUS","BGR","CropsNES",0.00000208088648251833,"salmon_aquaculture_meat","plant-dominant","coconut oil",93.685886,"coconut","Coconuts, in shell",249,"cnut",0.000194949693780154
"AUS","BGR","CropsNES",0.00000208088648251833,"salmon_aquaculture_meat","plant-dominant","linseed oil",1217.916518,"flax","Linseed",333,"ooil",0.002534346019142
"AUS","BGR","CropsNES",0.00000208088648251833,"salmon_aquaculture_meat","fish-dominant","coconut oil",0,"coconut","Coconuts, in shell",249,"cnut",0
"AUS","BGR","CropsNES",0.00000208088648251833,"salmon_aquaculture_meat","fish-dominant","linseed oil",0,"flax","Linseed",333,"ooil",0
"AUS","BGR","Sunflower",0.86540930944895,"salmon_aquaculture_meat","plant-dominant","sunflower meal",3185.320124,"sunflower","Sunflower seed",267,"sunf",2756.60568888468
"AUS","BGR","Sunflower",0.86540930944895,"salmon_aquaculture_meat","fish-dominant","sunflower meal",0,"sunflower","Sunflower seed",267,"sunf",0
"AUS","MMR","CropsNES",0.0000364238369900009,"salmon_aquaculture_meat","plant-dominant","coconut oil",93.685886,"coconut","Coconuts, in shell",249,"cnut",0.00341239943992781
"AUS","MMR","CropsNES",0.0000364238369900009,"salmon_aquaculture_meat","plant-dominant","linseed oil",1217.916518,"flax","Linseed",333,"ooil",0.0443611927190615
"AUS","MMR","CropsNES",0.0000364238369900009,"salmon_aquaculture_meat","fish-dominant","coconut oil",0,"coconut","Coconuts, in shell",249,"cnut",0
"AUS","MMR","CropsNES",0.0000364238369900009,"salmon_aquaculture_meat","fish-dominant","linseed oil",0,"flax","Linseed",333,"ooil",0
"AUS","MMR","Pulses",0.00445700324026515,"salmon_aquaculture_meat","plant-dominant","faba beans",3372.691896,"faba beans","Broad beans and horse beans, dry",181,"opul",15.032098708888
