"iso3c","animal_system","source_ingredient","ingredient_demand","source","product","included_source","ext_rate","crop","crop_loss","tonnes_product"
"FRO","salmon_aquaculture_meat","guar protein",4972.305,"salmon","guar protein","mapspam",25,"pea",12,5650.34659090909
"FRO","salmon_aquaculture_meat","linseed oil",1503.255,"salmon","oil of linseed","mapspam",35,"linseed",2,1533.93367346939
"FRO","salmon_aquaculture_meat","pea flour",2890.875,"salmon","pea other","mapspam",63,"pea",12,3285.08522727273
"FRO","salmon_aquaculture_meat","pea protein",1618.89,"salmon","pea protein","mapspam",25,"pea",12,1839.64772727273
"FRO","salmon_aquaculture_meat","rapeseed and camelina oil",21276.84,"salmon","oil of rapeseed","mapspam",38,"rapeseed",2,21711.0612244898
"FRO","salmon_aquaculture_meat","soy protein concentrate",24167.715,"salmon","soy protein concentrate","mapspam",33,"soybean",12,27463.3125
"FRO","salmon_aquaculture_meat","soybean oil",462.54,"salmon","oil of soya bean","mapspam",18,"soybean",3,476.845360824742
"FRO","salmon_aquaculture_meat","sunflower",3931.59,"salmon","cake of sunflower seed","mapspam",47,"sunflower seed",12,4467.71590909091
"FRO","salmon_aquaculture_meat","wheat",7516.275,"salmon","wheat","mapspam",100,"wheat",0,7516.275
"FRO","salmon_aquaculture_meat","wheat gluten",11332.23,"salmon","wheat gluten","mapspam",15,"wheat",1,11446.696969697
"ISL","salmon_aquaculture_meat","coconut oil",44.6433,"salmon","oil of coconuts","mapspam",13,"coconut",79,212.587142857143
"ISL","salmon_aquaculture_meat","corn gluten",312.5031,"salmon","maize gluten","mapspam",10,"maize",16,372.0275
"ISL","salmon_aquaculture_meat","faba beans",1607.1588,"salmon","faba bean","mapspam",100,"faba bean",0,1607.1588
"ISL","salmon_aquaculture_meat","guar protein",1919.6619,"salmon","guar protein","mapspam",25,"pea",12,2181.43397727273
"ISL","salmon_aquaculture_meat","linseed oil",580.3629,"salmon","oil of linseed","mapspam",35,"linseed",2,592.207040816326
"ISL","salmon_aquaculture_meat","pea flour",1116.0825,"salmon","pea other","mapspam",63,"pea",12,1268.27556818182
"ISL","salmon_aquaculture_meat","pea protein",625.0062,"salmon","pea protein","mapspam",25,"pea",12,710.234318181818
"ISL","salmon_aquaculture_meat","rapeseed and camelina oil",8214.3672,"salmon","oil of rapeseed","mapspam",38,"rapeseed",2,8382.00734693878
"ISL","salmon_aquaculture_meat","soy protein concentrate",9330.4497,"salmon","soy protein concentrate","mapspam",33,"soybean",12,10602.78375
"ISL","salmon_aquaculture_meat","soybean oil",178.5732,"salmon","oil of soya bean","mapspam",18,"soybean",3,184.096082474227
"ISL","salmon_aquaculture_meat","sunflower",1517.8722,"salmon","cake of sunflower seed","mapspam",47,"sunflower seed",12,1724.85477272727
"ISL","salmon_aquaculture_meat","wheat",2901.8145,"salmon","wheat","mapspam",100,"wheat",0,2901.8145
"ISL","salmon_aquaculture_meat","wheat gluten",4375.0434,"salmon","wheat gluten","mapspam",15,"wheat",1,4419.23575757576
"IRL","salmon_aquaculture_meat","coconut oil",16.731,"salmon","oil of coconuts","mapspam",13,"coconut",79,79.6714285714286
"IRL","salmon_aquaculture_meat","corn gluten",117.117,"salmon","maize gluten","mapspam",10,"maize",16,139.425
"IRL","salmon_aquaculture_meat","faba beans",602.316,"salmon","faba bean","mapspam",100,"faba bean",0,602.316
