iso3c_producing,SPAM_super,tonnes_producing_crop
AZE,barl,1027800.3983417153
AZE,cass,0
AZE,cnut,0
AZE,coco,0
AZE,maiz,293153.4194831848
AZE,ocer,12672.400762557983
AZE,ofib,0
AZE,oilp,0
AZE,ooil,48116.45952093601
AZE,opul,16102.58076786995
AZE,orts,0
AZE,othr,0
AZE,plnt,0
AZE,pota,1039206.8051659465
AZE,rape,170.20000457763672
AZE,rice,10252.317788124084
AZE,sorg,0
AZE,soyb,9.651453882455826
AZE,spis,0
AZE,sugb,215092.95797932148
AZE,sugc,0
AZE,sunf,27634.51934939623
AZE,swpo,0
AZE,teas,1012.3357013463974
AZE,tnut,101300.1978842467
AZE,toba,6606.3827667832375
AZE,vege,1561387.108518511
AZE,whea,1939713.520269081
AZE,xcof,0
AZE,xfru,1697224.169887513
AZE,xmil,4133.088075637817
AZE,xoil,306656.8279673159
AZE,xpul,8264.252049401402
AZE,yams,0
BDI,bana,1247235.618112564
BDI,barl,0
BDI,cass,2457742.4255982637
BDI,cnut,0
BDI,coco,0.20000000298023224
BDI,maiz,275627.0278412998
BDI,ocer,11625.474706858397
BDI,ofib,7
BDI,oilp,89455.68301010132
BDI,ooil,6.1933951042592525
BDI,opul,12863.188925743103
BDI,orts,145274.6544355154
BDI,othr,1.2551579847931862
BDI,plnt,0
BDI,pota,386049.0617413521
BDI,rape,0
BDI,rice,180803.2900493145
BDI,sorg,19614.835607782006
BDI,soyb,2622.4863255545497
BDI,spis,1.2551579847931862
BDI,sugb,0
BDI,sugc,207012.96907615662
BDI,sunf,0
BDI,swpo,883386.7636292577
BDI,teas,49561.6703658998
BDI,tnut,1.2551579847931862
BDI,toba,1747.9093432575464
BDI,vege,485588.2778892517
BDI,whea,7442.094891503453
BDI,xcof,16393.546296194196
BDI,xfru,131652.36995902658
BDI,xmil,10886.73071989417
BDI,xoil,11363.900173842907
BDI,xpul,584197.7816226482
BDI,yams,2561.879996828735
BEL,bana,0
BEL,barl,347243.7791251838
BEL,cass,0
BEL,cnut,0
BEL,coco,0
BEL,maiz,433499.601416111
BEL,ocer,61163.58239841461
BEL,ofib,87789.50777161121
BEL,oilp,0
BEL,ooil,7160.037207663059
BEL,opul,15275.123874902725
BEL,orts,0
BEL,othr,0
BEL,plnt,0
BEL,pota,3988366.2570643425
BEL,rape,31141.9563260898
BEL,rice,0
BEL,sorg,0
BEL,soyb,0.6000000238418579
BEL,spis,0
BEL,sugb,4860982.214755058
BEL,sugc,0
BEL,sunf,7.0000001937150955
BEL,swpo,0
BEL,teas,0
BEL,tnut,0
BEL,toba,1.3000000268220901
BEL,vege,2057783.3270753622
BEL,whea,1784751.2520314455
BEL,xcof,0
BEL,xfru,503312.3824119568
BEL,xmil,0
BEL,xoil,0
BEL,xpul,0
BEL,yams,0
BEN,bana,20069.744454920292
BEN,barl,0
BEN,cass,4312607.381172761
BEN,cnut,13512.17580755055
BEN,coco,0
BEN,maiz,1544221.4557917714
BEN,ocer,4581.88736641407
BEN,ofib,0.5000000149011612
BEN,oilp,591728.0397686958
BEN,ooil,45704.60055541992
BEN,opul,44529.720546513796
BEN,orts,2203.3582444489
BEN,othr,0
BEN,plnt,429.8999938964844
BEN,pota,23.480234019458294
BEN,rape,0
BEN,rice,413647.555673182
BEN,sorg,151532.77377390862
BEN,soyb,264589.2877931595
BEN,spis,101714.86155611277
BEN,sugb,0
BEN,sugc,10923.896684452891
BEN,sunf,0
BEN,swpo,57186.56208258867
BEN,teas,0
BEN,tnut,229411.1023954153
BEN,toba,28.80097299348563
BEN,vege,753943.4265284538
BEN,whea,0
BEN,xcof,61.6675420999527
BEN,xfru,550548.1915476918
BEN,xmil,26928.450289808214
BEN,xoil,901137.4918404818
BEN,xpul,154311.24727407098
BEN,yams,3225972.8323663473
BES,bana,0
BES,barl,0
BES,cass,0
BES,cnut,0
BES,coco,0
BES,maiz,0
BES,ocer,0
BES,ofib,0
BES,oilp,0
BES,ooil,0
BES,opul,0
BES,orts,0
BES,othr,0
BES,plnt,0
BES,pota,0
BES,rape,0
BES,rice,0
BES,sorg,0
BES,soyb,0
BES,spis,0
BES,sugb,0
BES,sugc,0
BES,sunf,0
BES,swpo,0
BES,teas,0
BES,tnut,0
BES,toba,0
BES,vege,0
BES,whea,0
BES,xcof,0
BES,xfru,0
BES,xmil,0
BES,xoil,0
BES,xpul,0
BES,yams,0
BFA,bana,0
BFA,barl,0
BFA,cass,5909.696688398719
BFA,cnut,0
BFA,coco,0
BFA,maiz,1871327.5187956095
BFA,ocer,10765.485775873065
BFA,ofib,3.80000002682209
BFA,oilp,0
BFA,ooil,85820.94002655149
BFA,opul,83331.76974213868
BFA,orts,32
BFA,othr,0
BFA,plnt,0
BFA,pota,553.5073461160064
BFA,rape,0
BFA,rice,431887.11608822644
BFA,sorg,1780456.4068132937
BFA,soyb,68105.90456590056
BFA,spis,4559.843176185153
BFA,sugb,11.00000011920929
BFA,sugc,472279.2916755676
BFA,sunf,0
BFA,swpo,102783.65206506848
BFA,teas,0.20000000298023224
