SPAM_short_name,iso3c,2021,2010,coef
cass,MDV,6.16,3,2.0533333333333332
cass,MEX,26730.97,18750,1.4256517333333334
cass,MLI,120716,38172,3.162422718222781
cass,MMR,394602.08,607097,0.6499819303999197
cass,MOZ,5597989.69,5700000,0.982103454385965
cass,MUS,1098,449,2.44543429844098
cass,MWI,5987853.48,4000986,1.4965944594657419
cass,MYS,31245.59,37187,0.8402288434130207
cass,NCL,802.1,742,1.0809973045822103
cass,NER,759509.38,113008,6.7208461347869175
cass,NGA,63031376.66,42533180,1.4819342607347956
cass,NIC,266859,73788.63,3.6165327910275606
cass,NIU,43.74,41.67,1.0496760259179265
cass,PAN,16168.46,24493,0.6601257502143469
cass,PER,1281432.25,1240121,1.0333122735604026
cass,PHL,2559811.9,2101454,1.2181146482387908
cass,PNG,155622.04,144555.14,1.0765583292299394
cass,PRI,107.32,339.79,0.3158421377909885
cass,PRY,3384013,2624084,1.2895978177527854
cass,PYF,3793.95,4128.98,0.9188588949328891
cass,QAT,0,0,0
cass,RWA,1319875,977200,1.3506702824396235
cass,SEN,1328889,181236.1,7.332363695753771
cass,SGP,0.31,0.48,0.6458333333333334
cass,SLB,3086.22,2950,1.0461762711864406
cass,SLE,3047590,3250044,0.9377073048857185
cass,SLV,20387.14,20091,1.0147399333034692
cass,SOM,96033.4,87187.15,1.1014627728971529
cass,STP,1343.4,2108.2,0.6372260696328622
cass,SUR,5288,4243,1.2462880037709168
cass,SYC,232.87,187.64,1.241046685141761
cass,TCD,295061.52,302467,0.975516403442359
cass,TGO,1178266,908755,1.296571683236956
cass,THA,30108352,22005740,1.368204477559037
cass,TLS,17510,27857,0.6285673259862871
cass,TON,7223.44,8306.29,0.8696349393050326
cass,TTO,3546.4,2311,1.5345737775854609
cass,TWN,6255,15318,0.4083431257344301
cass,TZA,6125934,4547940,1.346968957374108
cass,UGA,2679492,3017118,0.8880965212497489
cass,VCT,597.35,527,1.1334914611005693
cass,VEN,413628.7,374430,1.1046889939374516
cass,VNM,10565589,8595600,1.229185746195728
cass,WSM,448.22,410,1.093219512195122
cass,ZMB,3800153,1151700,3.2996031952765477
cass,ZWE,270497.3,213345.2,1.2678855676153014
chic,ARG,84709,19500,4.344051282051282
chic,ARM,100,0,0
chic,AUS,876468.13,513338,1.7073899263253451
chic,BGD,5008,5744,0.871866295264624
chic,BGR,0,1035,0
chic,BHR,0,0,0
chic,BIH,5285.1,4677.6,1.129874294510005
chic,BOL,513.77,641.72,0.8006139749423424
chic,CAN,76192,128300,0.5938581449727202
chic,CHL,311.56,2988.8,0.10424250535331905
chic,CHN,16020.78,8500,1.8847976470588237
chic,COL,91.2,0,0
chic,CUB,200,0,0
chic,CYP,0,78,0
chic,CZE,0,0,0
chic,DOM,3.33,1.45,2.296551724137931
chic,DZA,38818,23474,1.6536593678111953
chic,EGY,6142.21,7581,0.8102110539506662
chic,ERI,3667.38,4356.48,0.8418218378140151
chic,ESP,0,30143,0
chic,ETH,478211.87,322839,1.4812704474985983
chic,GRC,0,3395.34,0
chic,HUN,0,4,0
chic,IND,11910000,7480000,1.5922459893048129
chic,IRN,168142.52,156999.8,1.0709728292647507
chic,IRQ,32,800,0.04
chic,ISR,5500,16785,0.3276735180220435
chic,ITA,0,9143,0
chic,JOR,2434.45,3935,0.6186658195679796
chic,KAZ,7238.64,11200,0.6463071428571429
chic,KEN,1442.17,1941.59,0.7427778264206141
chic,LBN,2995.95,2328.73,1.286516685060097
chic,LBY,75.46,195.08,0.38681566536805406
chic,LTU,0,0,0
chic,MAR,72547,56620,1.2812963617096433
chic,MDA,3163.23,1200,2.636025
chic,MEX,171967.76,131895,1.3038231926911559
chic,MKD,1125.86,1000,1.1258599999999999
chic,MMR,467340.51,459400,1.0172845232912495
chic,MWI,330.91,61384.3,0.005390792108079754
chic,NER,232.3,250,0.9292
chic,NPL,11065,7064,1.5663929784824462
chic,PAK,233934,561500,0.4166233303650935
chic,PER,490.2,2532,0.19360189573459716
chic,PRT,3208,605,5.302479338842975
chic,PSE,1454.4,761.27,1.91049167837955
chic,ROU,0,134,0
chic,RUS,316840.4,0,0
chic,SVK,0,318.5,0
chic,SYR,36223.2,42928,0.8438128960119269
chic,TGO,1506.38,1000,1.50638
chic,TUN,9900,4450,2.2247191011235956
chic,TUR,475000,530634,0.8951556063124488
chic,TZA,88415.4,38290,2.3090989814572995
chic,UGA,5330.98,4500,1.184662222222222
chic,UKR,0,0,0
chic,USA,129770,87952,1.4754638893942151
chic,UZB,14266.58,3700,3.8558324324324325
