"sector","area_code","area","element_code","element","item_code","item","year_code","year","value"
"Crops",2,"Afghanistan",5510,"Production",1732,"Oilcrops, Oil Equivalent",2010,2010,19212.85
"Crops",2,"Afghanistan",5510,"Production",1732,"Oilcrops, Oil Equivalent",2021,2021,37583.13
"Crops",2,"Afghanistan",5510,"Production",1726,"Pulses, Total",2010,2010,53300
"Crops",2,"Afghanistan",5510,"Production",1726,"Pulses, Total",2021,2021,42417.32
"Crops",2,"Afghanistan",5510,"Production",1720,"Roots and Tubers, Total",2010,2010,246000
"Crops",2,"Afghanistan",5510,"Production",1720,"Roots and Tubers, Total",2021,2021,864771.99
"Crops",2,"Afghanistan",5510,"Production",1723,"Sugar Crops Primary",2010,2010,107600
"Crops",2,"Afghanistan",5510,"Production",1723,"Sugar Crops Primary",2021,2021,41179.01
"Crops",2,"Afghanistan",5510,"Production",1729,"Treenuts, Total",2010,2010,71463.32
"Crops",2,"Afghanistan",5510,"Production",1729,"Treenuts, Total",2021,2021,60822.41
"Crops",2,"Afghanistan",5510,"Production",1735,"Vegetables Primary",2010,2010,969763.13
"Crops",2,"Afghanistan",5510,"Production",1735,"Vegetables Primary",2021,2021,1605792.66
"Crops",3,"Albania",5510,"Production",515,"Apples",2010,2010,54604
"Crops",3,"Albania",5510,"Production",515,"Apples",2021,2021,111247.2
"Crops",3,"Albania",5510,"Production",526,"Apricots",2010,2010,3471
"Crops",3,"Albania",5510,"Production",526,"Apricots",2021,2021,5056.7
"Crops",3,"Albania",5510,"Production",44,"Barley",2010,2010,7300
"Crops",3,"Albania",5510,"Production",44,"Barley",2021,2021,15310
"Crops",3,"Albania",5510,"Production",176,"Beans, dry",2010,2010,24000
"Crops",3,"Albania",5510,"Production",176,"Beans, dry",2021,2021,22418
"Crops",3,"Albania",5510,"Production",51,"Beer of barley, malted",2010,2010,45000
"Crops",3,"Albania",5510,"Production",181,"Broad beans and horse beans, dry",2010,2010,200
"Crops",3,"Albania",5510,"Production",181,"Broad beans and horse beans, dry",2021,2021,207.68
"Crops",3,"Albania",5510,"Production",420,"Broad beans and horse beans, green",2010,2010,102.94
"Crops",3,"Albania",5510,"Production",420,"Broad beans and horse beans, green",2021,2021,110.49
"Crops",3,"Albania",5510,"Production",358,"Cabbages",2010,2010,35832
"Crops",3,"Albania",5510,"Production",358,"Cabbages",2021,2021,69126.9
"Crops",3,"Albania",5510,"Production",568,"Cantaloupes and other melons",2010,2010,64622
"Crops",3,"Albania",5510,"Production",568,"Cantaloupes and other melons",2021,2021,50669.1
"Crops",3,"Albania",5510,"Production",426,"Carrots and turnips",2010,2010,6303
"Crops",3,"Albania",5510,"Production",426,"Carrots and turnips",2021,2021,10080.4
"Crops",3,"Albania",5510,"Production",393,"Cauliflowers and broccoli",2010,2010,4601
