"iso3c_consuming","iso3c_producing","SPAM_super","prop_of_supply","animal_system","diet","source_ingredient","consuming_ingredient_consumed_tonnes","raw_material","FAOSTAT_name","FAO_code","producing_ingredient_consumed_tonnes"
"AUS","SLB","cnut",0.0130254544137203,"salmon_aquaculture_meat","plant-dominant","coconut oil",93.685886,"coconut","Coconuts, in shell",249,1.22030123730199
"AUS","SLB","cnut",0.0130254544137203,"salmon_aquaculture_meat","fish-dominant","coconut oil",0,"coconut","Coconuts, in shell",249,0
"AUS","SLB","ooil",0,"salmon_aquaculture_meat","plant-dominant","linseed oil",1217.916518,"flax","Linseed",333,0
"AUS","SLB","ooil",0,"salmon_aquaculture_meat","fish-dominant","linseed oil",0,"flax","Linseed",333,0
"AUS","BGR","ooil",0,"salmon_aquaculture_meat","plant-dominant","linseed oil",1217.916518,"flax","Linseed",333,0
"AUS","BGR","ooil",0,"salmon_aquaculture_meat","fish-dominant","linseed oil",0,"flax","Linseed",333,0
"AUS","BGR","sunf",0.484716062552002,"salmon_aquaculture_meat","plant-dominant","sunflower meal",3185.320124,"sunflower","Sunflower seed",267,1543.97582847294
"AUS","BGR","sunf",0.484716062552002,"salmon_aquaculture_meat","fish-dominant","sunflower meal",0,"sunflower","Sunflower seed",267,0
"AUS","BGR","whea",7.6280284401008e-06,"salmon_aquaculture_meat","plant-dominant","wheat",6089.58259,"wheat","Wheat",15,0.0464515091848627
"AUS","BGR","whea",7.6280284401008e-06,"salmon_aquaculture_meat","plant-dominant","wheat gluten",9181.216828,"wheat","Wheat",15,0.0700345830787161
"AUS","BGR","whea",7.6280284401008e-06,"salmon_aquaculture_meat","fish-dominant","wheat",6558.01202,"wheat","Wheat",15,0.0500247021990829
"AUS","BGR","whea",7.6280284401008e-06,"salmon_aquaculture_meat","fish-dominant","wheat gluten",12179.16518,"wheat","Wheat",15,0.0929030183697254
"AUS","MMR","opul",0.000165999046418577,"salmon_aquaculture_meat","plant-dominant","faba beans",3372.691896,"faba beans","Broad beans and horse beans, dry",181,0.559863638599662
"AUS","MMR","opul",0.000165999046418577,"salmon_aquaculture_meat","plant-dominant","guar meal",4028.493098,"guar","Other pulses n.e.c.",211,0.668726012771819
"AUS","MMR","opul",0.000165999046418577,"salmon_aquaculture_meat","plant-dominant","pea flour",2342.14715,"peas","Peas, dry; Peas, green",187,0.388794193471988
"AUS","MMR","opul",0.000165999046418577,"salmon_aquaculture_meat","plant-dominant","pea protein concentrate",1311.602404,"peas","Peas, dry; Peas, green",187,0.217724748344313
"AUS","MMR","opul",0.000165999046418577,"salmon_aquaculture_meat","fish-dominant","faba beans",1873.71772,"faba beans","Broad beans and horse beans, dry",181,0.31103535477759
"AUS","MMR","opul",0.000165999046418577,"salmon_aquaculture_meat","fish-dominant","guar meal",0,"guar","Other pulses n.e.c.",211,0
"AUS","MMR","opul",0.000165999046418577,"salmon_aquaculture_meat","fish-dominant","pea flour",0,"peas","Peas, dry; Peas, green",187,0
"AUS","MMR","opul",0.000165999046418577,"salmon_aquaculture_meat","fish-dominant","pea protein concentrate",0,"peas","Peas, dry; Peas, green",187,0
"AUS","MMR","whea",4.43490025587256e-06,"salmon_aquaculture_meat","plant-dominant","wheat",6089.58259,"wheat","Wheat",15,0.0270066913865481
"AUS","MMR","whea",4.43490025587256e-06,"salmon_aquaculture_meat","plant-dominant","wheat gluten",9181.216828,"wheat","Wheat",15,0.0407177808597187
"AUS","MMR","whea",4.43490025587256e-06,"salmon_aquaculture_meat","fish-dominant","wheat",6558.01202,"wheat","Wheat",15,0.0290841291855133
"AUS","MMR","whea",4.43490025587256e-06,"salmon_aquaculture_meat","fish-dominant","wheat gluten",12179.16518,"wheat","Wheat",15,0.0540133827730962
"AUS","CAN","ooil",0.00104611644677819,"salmon_aquaculture_meat","plant-dominant","linseed oil",1217.916518,"flax","Linseed",333,1.27408250028263
"AUS","CAN","ooil",0.00104611644677819,"salmon_aquaculture_meat","fish-dominant","linseed oil",0,"flax","Linseed",333,0
"AUS","CAN","opul",0.000430180455657898,"salmon_aquaculture_meat","plant-dominant","faba beans",3372.691896,"faba beans","Broad beans and horse beans, dry",181,1.45086613661498
"AUS","CAN","opul",0.000430180455657898,"salmon_aquaculture_meat","plant-dominant","guar meal",4028.493098,"guar","Other pulses n.e.c.",211,1.73297899651234
"AUS","CAN","opul",0.000430180455657898,"salmon_aquaculture_meat","plant-dominant","pea flour",2342.14715,"peas","Peas, dry; Peas, green",187,1.00754592820485
"AUS","CAN","opul",0.000430180455657898,"salmon_aquaculture_meat","plant-dominant","pea protein concentrate",1311.602404,"peas","Peas, dry; Peas, green",187,0.564225719794714
"AUS","CAN","opul",0.000430180455657898,"salmon_aquaculture_meat","fish-dominant","faba beans",1873.71772,"faba beans","Broad beans and horse beans, dry",181,0.806036742563877
"AUS","CAN","opul",0.000430180455657898,"salmon_aquaculture_meat","fish-dominant","guar meal",0,"guar","Other pulses n.e.c.",211,0
"AUS","CAN","opul",0.000430180455657898,"salmon_aquaculture_meat","fish-dominant","pea flour",0,"peas","Peas, dry; Peas, green",187,0
