"allocation","diet","fcr","spp_type","ingredient_raw_material","med_ad","mean_ad","global_mean","lower_med_ad","upper_med_ad","lower_mean_ad","upper_mean_ad","range_med_ad","range_mean_ad"
"ge","fish-dominant","regular","cephalopods","trimmings fish_fish oil, cut offs",0.000000571738794685514,0.00000083577811023826,0.000000572079280658264,0.000000000340485972749605,0.00000114381807534378,-0.000000263698829579997,0.00000140785739089652,0.00000114347758937103,0.00000167155622047652
"ge","fish-dominant","regular","cephalopods","trimmings fish_fish meal, cut offs",0.000000251454365995517,0.000000376038818779815,0.000000251713382470452,0.000000000259016474934981,0.000000503167748465969,-0.000000124325436309363,0.000000627752201250267,0.000000502908731991034,0.00000075207763755963
"ge","fish-dominant","regular","cephalopods","forage fish_fish oil",0.000000409104377738341,0.000000718494851167904,0.000000409486780542208,0.00000000038240280386681,0.000000818591158280549,-0.000000309008070625696,0.00000112798163171011,0.000000818208755476682,0.00000143698970233581
"ge","fish-dominant","regular","cephalopods","forage fish_fish meal",0.000000314420806832473,0.000000575104250181309,0.000000314591040215419,0.000000000170233382945639,0.000000629011847047892,-0.00000026051320996589,0.000000889695290396727,0.000000628841613664946,0.00000115020850036262
"ge","fish-dominant","regular","fish","trimmings fish_fish oil, cut offs",0.000000898953392657439,0.00000131069524445601,0.000000899829726662801,0.000000000876334005361912,0.00000179878311932024,-0.000000410865517793212,0.00000221052497111881,0.00000179790678531488,0.00000262139048891203
"ge","fish-dominant","regular","fish","trimmings fish_fish meal, cut offs",0.000000499389093557305,0.000000768073031088241,0.000000500144888650482,0.000000000755795093176914,0.000000999533982207788,-0.000000267928142437758,0.00000126821791973872,0.000000998778187114611,0.00000153614606217648
"ge","fish-dominant","regular","fish","forage fish_fish oil",0.00000126956376420341,0.00000225879927073298,0.00000127025252713899,0.000000000688762935574516,0.0000025398162913424,-0.000000988546743593991,0.00000352905179787197,0.00000253912752840683,0.00000451759854146596
"ge","fish-dominant","regular","fish","forage fish_fish meal",0.00000119440967415096,0.00000221853563619381,0.00000119470805014155,0.00000000029837599058169,0.00000238911772429251,-0.00000102382758605227,0.00000341324368633536,0.00000238881934830193,0.00000443707127238763
"ge","fish-dominant","regular","arthropods","trimmings fish_fish oil, cut offs",0.000000561519950255066,0.000000820549162777153,0.00000056189142432879,0.000000000371474073723732,0.00000112341137458386,-0.000000258657738448364,0.00000138244058710594,0.00000112303990051013,0.00000164109832555431
"ge","fish-dominant","regular","arthropods","trimmings fish_fish meal, cut offs",0.000000239954345307388,0.000000356997141318145,0.000000240224678896235,0.000000000270333588847649,0.000000480179024203623,-0.00000011677246242191,0.00000059722182021438,0.000000479908690614775,0.00000071399428263629
"ge","fish-dominant","regular","arthropods","forage fish_fish oil",0.000000585623610564583,0.00000102895425125081,0.000000586063439293576,0.000000000439828728993064,0.00000117168704985816,-0.00000044289081195723,0.00000161501769054438,0.00000117124722112917,0.00000205790850250161
"ge","fish-dominant","regular","arthropods","forage fish_fish meal",0.000000332135908008497,0.000000600311068706538,0.00000033230318109277,0.000000000167273084272779,0.000000664439089101267,-0.000000268007887613768,0.000000932614249799308,0.000000664271816016994,0.00000120062213741308
