"crop_number","SPAM_short_name","SPAM_super","SPAM_full_name","FAONAMES","FAO_item_code_NFB","FAO_item_code","GROUP","product_description_FAOSTAT","non_food"
27,"ooil","ooil","other oil crops","olives ++",NA,300,"oilcrops",NA,NA
27,"ooil","ooil","other oil crops","olives ++",NA,301,"oilcrops",NA,NA
27,"ooil","ooil","other oil crops","olives ++",NA,302,"oilcrops",NA,NA
27,"ooil","ooil","other oil crops","olives ++",NA,303,"oilcrops",NA,NA
27,"ooil","ooil","other oil crops","olives ++",NA,304,"oilcrops",NA,NA
27,"ooil","ooil","other oil crops","olives ++",2570,305,"oilcrops","Tallowtree Seeds",NA
27,"ooil","ooil","other oil crops","olives ++",2586,306,"oilcrops","Vegetable tallow",NA
27,"ooil","ooil","other oil crops","olives ++",2586,307,"oilcrops","Stillingia oil",NA
27,"ooil","ooil","other oil crops","olives ++",NA,308,"oilcrops",NA,NA
27,"ooil","ooil","other oil crops","olives ++",NA,309,"oilcrops",NA,NA
27,"ooil","ooil","other oil crops","olives ++",2570,310,"oilcrops","Kapok fruit",NA
27,"ooil","ooil","other oil crops","olives ++",2570,311,"oilcrops","Kapokseed,in shell",NA
27,"ooil","ooil","other oil crops","olives ++",2570,312,"oilcrops","Kapokseed, shelled",NA
27,"ooil","ooil","other oil crops","olives ++",2586,313,"oilcrops","Oil of Kapok",NA
27,"ooil","ooil","other oil crops","olives ++",2586,314,"oilcrops","Cake of Kapok",NA
27,"ooil","ooil","other oil crops","olives ++",NA,315,"oilcrops",NA,NA
27,"ooil","ooil","other oil crops","olives ++",NA,316,"oilcrops",NA,NA
27,"ooil","ooil","other oil crops","olives ++",NA,317,"oilcrops",NA,NA
27,"ooil","ooil","other oil crops","olives ++",NA,318,"oilcrops",NA,NA
27,"ooil","ooil","other oil crops","olives ++",NA,319,"oilcrops",NA,NA
27,"ooil","ooil","other oil crops","olives ++",NA,320,"oilcrops",NA,NA
27,"ooil","ooil","other oil crops","olives ++",NA,321,"oilcrops",NA,NA
27,"ooil","ooil","other oil crops","olives ++",NA,322,"oilcrops",NA,NA
27,"ooil","ooil","other oil crops","olives ++",NA,323,"oilcrops",NA,NA
27,"ooil","ooil","other oil crops","olives ++",NA,324,"oilcrops",NA,NA
27,"ooil","ooil","other oil crops","olives ++",NA,325,"oilcrops",NA,NA
27,"ooil","ooil","other oil crops","olives ++",NA,326,"oilcrops",NA,NA
27,"ooil","ooil","other oil crops","olives ++",NA,327,"oilcrops",NA,NA
27,"ooil","ooil","other oil crops","olives ++",2559,329,"oilcrops","Cottonseed",NA
27,"ooil","ooil","other oil crops","olives ++",NA,330,"oilcrops",NA,NA
27,"ooil","ooil","other oil crops","olives ++",2575,331,"oilcrops","Oil of Cottonseed",NA
27,"ooil","ooil","other oil crops","olives ++",2575,332,"oilcrops","Cake of Cottonseed",NA
27,"ooil","ooil","other oil crops","olives ++",2570,333,"oilcrops","Linseed",NA
27,"ooil","ooil","other oil crops","olives ++",2586,334,"oilcrops","Oil of Linseed",NA
27,"ooil","ooil","other oil crops","olives ++",2586,335,"oilcrops","Cake of Linseed",NA
27,"ooil","ooil","other oil crops","olives ++",2570,336,"oilcrops","Hempseed",NA
27,"ooil","ooil","other oil crops","olives ++",2586,337,"oilcrops","Oil of Hempseed",NA
27,"ooil","ooil","other oil crops","olives ++",2586,338,"oilcrops","Cake of Hempseed",NA
27,"ooil","ooil","other oil crops","olives ++",2570,339,"oilcrops","Oilseeds nes",NA
27,"ooil","ooil","other oil crops","olives ++",2586,340,"oilcrops","Oil, vegetable origin nes",NA
27,"ooil","ooil","other oil crops","olives ++",2570,343,"oilcrops","Flour, oilseeds",NA
