iso3c_producing,SPAM_super,tonnes_producing_crop
ATG,pota,0
ATG,rice,0
ATG,sorg,0
ATG,soyb,0
ATG,spis,0
ATG,sugb,0
ATG,sugc,0
ATG,swpo,133.86751186847687
ATG,teas,0
ATG,tnut,0
ATG,toba,0
ATG,vege,927.4042246341705
ATG,whea,0
ATG,xcof,0
ATG,xfru,7159.480895996094
ATG,xmil,0
ATG,xoil,102.50239488482475
ATG,xpul,0
ATG,yams,136.24094414710999
AUS,bana,295544.03786566854
AUS,barl,14400369.414863825
AUS,cass,0
AUS,cnut,0
AUS,coco,0
AUS,maiz,329440.0714480579
AUS,ocer,2134514.7246073484
AUS,ofib,0
AUS,oilp,0
AUS,orts,0
AUS,othr,662.2640498045366
AUS,plnt,0
AUS,pota,1185178.5695456266
AUS,rice,706125.8849232644
AUS,sorg,2255416.67099227
AUS,soyb,38105.83704529703
AUS,spis,1170.6777052024845
AUS,sugb,0
AUS,sugc,28880660.218643427
AUS,swpo,77764.91046577692
AUS,teas,0
AUS,tnut,111128.61487483978
AUS,toba,2453.3747022226453
AUS,vege,1673972.6003789902
AUS,whea,34600102.54607767
AUS,xcof,0
AUS,xfru,3615562.941667147
AUS,xmil,39641.409309476614
AUS,xoil,6957018.008225702
AUS,xpul,2838396.0904952288
AUS,yams,0
AUT,bana,0
AUT,barl,787382.873798728
AUT,cass,0
AUT,cnut,0
AUT,coco,0
AUT,maiz,2698730.102899857
AUT,ocer,976505.0043879449
AUT,ofib,9537.963885426521
AUT,oilp,0
AUT,orts,0
AUT,othr,2276.550251983106
AUT,plnt,0
AUT,pota,843633.5111452937
AUT,rice,0
AUT,sorg,23742.1540928483
AUT,soyb,228554.91781771183
AUT,spis,0
AUT,sugb,3088667.4781883955
AUT,sugc,0
AUT,swpo,0
AUT,teas,0
AUT,tnut,13623.083619832993
AUT,toba,0
AUT,vege,730637.0015945435
AUT,whea,1639554.8491252884
AUT,xcof,0
AUT,xfru,1302929.2510399818
AUT,xmil,0
AUT,xoil,175097.8986319825
AUT,xpul,56912.8537761271
AUT,yams,0
AZE,bana,0
AZE,barl,1280280.2967127264
AZE,cass,0
AZE,cnut,0
AZE,coco,0
AZE,maiz,301429.7602904439
AZE,ocer,19487.27522277832
AZE,ofib,0
AZE,oilp,0
AZE,orts,0
AZE,othr,0
AZE,plnt,0
AZE,pota,1071945.7044264972
AZE,rice,10298.879343986511
AZE,sorg,0
AZE,soyb,8.720251932740211
AZE,spis,0
AZE,sugb,166785.66673964262
AZE,sugc,0
AZE,swpo,0
AZE,teas,1098.6104338169098
AZE,tnut,77237.80928480625
AZE,toba,6358.627516746521
AZE,vege,1605296.002279073
AZE,whea,2409082.420884013
AZE,xcof,0
AZE,xfru,1770123.2812684178
AZE,xmil,4494.105799198151
AZE,xoil,382761.94075585157
AZE,xpul,18473.51806191355
AZE,yams,0
BDI,bana,1249933.0389938354
BDI,barl,0
BDI,cass,2382490.236068845
BDI,cnut,0
BDI,coco,0.20000000298023224
BDI,maiz,282565.6094760448
BDI,ocer,12930.198168694973
BDI,ofib,7
BDI,oilp,86844.81113529205
BDI,orts,116969.39878380299
BDI,othr,0
BDI,plnt,0
BDI,pota,336859.5674626827
BDI,rice,129270.8408036232
BDI,sorg,25196.36129949428
BDI,soyb,2596.0793041065335
BDI,spis,0
BDI,sugb,0
BDI,sugc,236593.95798778534
BDI,swpo,704539.110019207
BDI,teas,48940.566572248936
BDI,tnut,0
BDI,toba,1728.4485730677843
BDI,vege,491859.2700843811
BDI,whea,8901.08769364655
BDI,xcof,9662.887634314597
BDI,xfru,140519.58072084188
BDI,xmil,11467.713576942682
BDI,xoil,10737.729494273663
BDI,xpul,512687.5631661862
BDI,yams,4914.233636319637
BEL,bana,0
BEL,barl,315599.94839423895
BEL,cass,0
BEL,cnut,0
BEL,coco,0
BEL,maiz,485371.60144519806
BEL,ocer,56716.70337828994
BEL,ofib,55359.59813606739
BEL,oilp,0
BEL,orts,0
BEL,othr,0
BEL,plnt,0
BEL,pota,4110188.1627771854
BEL,rice,0
BEL,sorg,0
BEL,soyb,0.6000000238418579
BEL,spis,0
BEL,sugb,5178667.528301716
BEL,sugc,0
BEL,swpo,0
BEL,teas,0
BEL,tnut,0
BEL,toba,1.3000000268220901
BEL,vege,2247927.239256382
BEL,whea,1623966.5067788363
BEL,xcof,0
BEL,xfru,472906.27870845795
BEL,xmil,0
BEL,xoil,29316.175823483616
BEL,xpul,16131.892964601517
BEL,yams,0
BEN,bana,20067.33497029543
BEN,barl,0
BEN,cass,4451859.55797112
BEN,cnut,13441.492497354746
BEN,coco,0
BEN,maiz,1742746.3357600272
BEN,ocer,4706.617020845413
BEN,ofib,0.5000000149011612
BEN,oilp,583641.9333615303
BEN,orts,3062.2514350414276
BEN,othr,0
BEN,plnt,429.8999938964844
BEN,pota,37.202669985592365
BEN,rice,636907.9063580632
BEN,sorg,115615.16301202774
BEN,soyb,285897.9938147068
BEN,spis,92730.2321703434
BEN,sugb,0
BEN,sugc,9249.238064363599
BEN,swpo,45022.24426856637
BEN,teas,0
BEN,tnut,209146.8688927889
BEN,toba,18.777982976753265
BEN,vege,741299.5088543892
BEN,whea,0
BEN,xcof,65.54166647791862
BEN,xfru,553084.3710125685
BEN,xmil,24081.8895579651
BEN,xoil,1217665.103891328
BEN,xpul,182783.25925194472
BEN,yams,3133186.873351574
BES,bana,0
BES,barl,0
BES,cass,0
BES,cnut,0
BES,coco,0
BES,maiz,0
BES,ocer,0
BES,ofib,0
BES,oilp,0
BES,orts,0
BES,othr,0
BES,plnt,0
BES,pota,0
BES,rice,0
BES,sorg,0
BES,soyb,0
BES,spis,0
BES,sugb,0
BES,sugc,0
BES,swpo,0
BES,teas,0
BES,tnut,0
BES,toba,0
BES,vege,0
BES,whea,0
BES,xcof,0
BES,xfru,0
BES,xmil,0
BES,xoil,0
BES,xpul,0
BES,yams,0
BFA,bana,0
BFA,barl,0
BFA,cass,6010.245466977358
BFA,cnut,0
BFA,coco,0
