"TaxonName","DietTroph","SpecCode","Genus","Subfamily","Family","Order","Class","SuperClass"
"Sardinella brasiliensis",3.1,1505,"Sardinella",NA,"Dorosomatidae","Clupeiformes","Teleostei","Osteichthyes"
"Sardinella gibbosa",2.85,1508,"Sardinella",NA,"Dorosomatidae","Clupeiformes","Teleostei","Osteichthyes"
"Sardinella lemuru",2.48,1510,"Sardinella",NA,"Dorosomatidae","Clupeiformes","Teleostei","Osteichthyes"
"Sardinella longiceps",2.41000008583069,1511,"Sardinella",NA,"Dorosomatidae","Clupeiformes","Teleostei","Osteichthyes"
"Sardinella maderensis",3.2,1047,"Sardinella",NA,"Dorosomatidae","Clupeiformes","Teleostei","Osteichthyes"
"Sardinella zunasi",3.17,1519,"Sardinella",NA,"Dorosomatidae","Clupeiformes","Teleostei","Osteichthyes"
"Sardinops sagax",2.84,1477,"Sardinops",NA,"Alosidae","Clupeiformes","Teleostei","Osteichthyes"
"Scomber scombrus",3.63,118,"Scomber","Scombrinae","Scombridae","Scombriformes","Teleostei","Osteichthyes"
"Scomberoides tol",4.11,1953,"Scomberoides","Scomberoidinae","Carangidae","Carangiformes","Teleostei","Osteichthyes"
"Sebastes viviparus",4.03,1352,"Sebastes","Sebastinae","Sebastidae","Perciformes/Scorpaenoidei","Teleostei","Osteichthyes"
"Selar crumenophthalmus",3.81,387,"Selar","Caranginae","Carangidae","Carangiformes","Teleostei","Osteichthyes"
"Selaroides leptolepis",3.84,388,"Selaroides","Caranginae","Carangidae","Carangiformes","Teleostei","Osteichthyes"
"Serranus cabrilla",3.35,1353,"Serranus",NA,"Serranidae","Perciformes/Serranoidei","Teleostei","Osteichthyes"
"Sillago sihama",3.33,4544,"Sillago",NA,"Sillaginidae","Eupercaria/misc","Teleostei","Osteichthyes"
"Strangomera bentincki",2.69,1530,"Strangomera",NA,"Clupeidae","Clupeiformes","Teleostei","Osteichthyes"
"Spicara maena",4.15,4887,"Spicara",NA,"Sparidae","Eupercaria/misc","Teleostei","Osteichthyes"
"Spicara smaris",3,1766,"Spicara",NA,"Sparidae","Eupercaria/misc","Teleostei","Osteichthyes"
"Spratelloides gracilis",3.06,1458,"Spratelloides",NA,"Spratelloididae","Clupeiformes","Teleostei","Osteichthyes"
"Sprattus fuegensis",2.6,1466,"Sprattus",NA,"Clupeidae","Clupeiformes","Teleostei","Osteichthyes"
"Sprattus sprattus",3.01,1357,"Sprattus",NA,"Clupeidae","Clupeiformes","Teleostei","Osteichthyes"
"Stephanolepis cirrhifer",2.84,531,"Stephanolepis",NA,"Monacanthidae","Tetraodontiformes","Teleostei","Osteichthyes"
"Tautogolabrus adspersus",3.72,3672,"Tautogolabrus",NA,"Labridae","Eupercaria/misc","Teleostei","Osteichthyes"
"Tenualosa ilisha",2.89,1596,"Tenualosa",NA,"Dorosomatidae","Clupeiformes","Teleostei","Osteichthyes"
"Trachurus japonicus",3.4,366,"Trachurus","Caranginae","Carangidae","Carangiformes","Teleostei","Osteichthyes"
"Trachurus lathami",3.99,369,"Trachurus","Caranginae","Carangidae","Carangiformes","Teleostei","Osteichthyes"
"Trachurus murphyi",3.33,367,"Trachurus","Caranginae","Carangidae","Carangiformes","Teleostei","Osteichthyes"
"Trachurus trachurus",3.71,1365,"Trachurus","Caranginae","Carangidae","Carangiformes","Teleostei","Osteichthyes"
"Umbrina canosai",3.85,413,"Umbrina",NA,"Sciaenidae","Eupercaria/misc","Teleostei","Osteichthyes"
"Trisopterus esmarkii",3.24,1023,"Trisopterus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes"
"Trisopterus luscus",3.73,1367,"Trisopterus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes"
"Trisopterus minutus",3.73,481,"Trisopterus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes"
"Urophycis brasiliensis",3.94,311,"Urophycis",NA,"Phycidae","Gadiformes","Teleostei","Osteichthyes"
"Zoarces viviparus",3.47,479,"Zoarces","Zoarcinae","Zoarcidae","Perciformes/Zoarcoidei","Teleostei","Osteichthyes"
"Holocentridae",3.1,NA,NA,NA,NA,NA,NA,NA
"Acanthuridae",2,NA,NA,NA,NA,NA,NA,NA
"Atherinidae",3.40323943608244,NA,NA,NA,NA,NA,NA,NA
"Scorpaenidae",3.6225,NA,NA,NA,NA,NA,NA,NA
"Stromateidae",4.205,NA,NA,NA,NA,NA,NA,NA
"Ostraciidae",2.84,NA,NA,NA,NA,NA,NA,NA
"Pomacanthidae",3.455,NA,NA,NA,NA,NA,NA,NA
"Monacanthidae",2.84,NA,NA,NA,NA,NA,NA,NA
"Sillaginidae",3.33,NA,NA,NA,NA,NA,NA,NA
"Labridae",3.65,NA,NA,NA,NA,NA,NA,NA
"Myctophidae",3.18,NA,NA,NA,NA,NA,NA,NA
"Moridae",3.68888888888889,NA,NA,NA,NA,NA,NA,NA
"Tetraodontidae",2.84,NA,NA,NA,NA,NA,NA,NA
