"iso3c","raw_name","prop_diet","production_system","species","diet"
"ARG","sunflower meal",0.034,"aquaculture","salmon","plant-dominant"
"ARG","wheat",0.065,"aquaculture","salmon","plant-dominant"
"ARG","wheat gluten",0.098,"aquaculture","salmon","plant-dominant"
"ARM","canola oil",0.184,"aquaculture","salmon","plant-dominant"
"ARM","coconut oil",0.001,"aquaculture","salmon","plant-dominant"
"ARM","corn gluten meal",0.007,"aquaculture","salmon","plant-dominant"
"ARM","faba beans",0.036,"aquaculture","salmon","plant-dominant"
"ARM","fish meal, cut offs",0.033,"aquaculture","salmon","plant-dominant"
"ARM","fish meal, forage fish",0.088,"aquaculture","salmon","plant-dominant"
"ARM","fish oil, cut offs",0.02,"aquaculture","salmon","plant-dominant"
"ARM","fish oil, forage fish",0.083,"aquaculture","salmon","plant-dominant"
"ARM","guar meal",0.043,"aquaculture","salmon","plant-dominant"
"ARM","linseed oil",0.013,"aquaculture","salmon","plant-dominant"
"ARM","micro ingredients",0.041,"aquaculture","salmon","plant-dominant"
"ARM","other",0.004,"aquaculture","salmon","plant-dominant"
"ARM","pea flour",0.025,"aquaculture","salmon","plant-dominant"
"ARM","pea protein concentrate",0.014,"aquaculture","salmon","plant-dominant"
"ARM","soy oil",0.004,"aquaculture","salmon","plant-dominant"
"ARM","soy protein concentrate",0.209,"aquaculture","salmon","plant-dominant"
"ARM","sunflower meal",0.034,"aquaculture","salmon","plant-dominant"
"ARM","wheat",0.065,"aquaculture","salmon","plant-dominant"
"ARM","wheat gluten",0.098,"aquaculture","salmon","plant-dominant"
"ABW","canola oil",0.184,"aquaculture","salmon","plant-dominant"
"ABW","coconut oil",0.001,"aquaculture","salmon","plant-dominant"
"ABW","corn gluten meal",0.007,"aquaculture","salmon","plant-dominant"
"ABW","faba beans",0.036,"aquaculture","salmon","plant-dominant"
"ABW","fish meal, cut offs",0.033,"aquaculture","salmon","plant-dominant"
"ABW","fish meal, forage fish",0.088,"aquaculture","salmon","plant-dominant"
"ABW","fish oil, cut offs",0.02,"aquaculture","salmon","plant-dominant"
"ABW","fish oil, forage fish",0.083,"aquaculture","salmon","plant-dominant"
"ABW","guar meal",0.043,"aquaculture","salmon","plant-dominant"
"ABW","linseed oil",0.013,"aquaculture","salmon","plant-dominant"
"ABW","micro ingredients",0.041,"aquaculture","salmon","plant-dominant"
"ABW","other",0.004,"aquaculture","salmon","plant-dominant"
"ABW","pea flour",0.025,"aquaculture","salmon","plant-dominant"
"ABW","pea protein concentrate",0.014,"aquaculture","salmon","plant-dominant"
"ABW","soy oil",0.004,"aquaculture","salmon","plant-dominant"
"ABW","soy protein concentrate",0.209,"aquaculture","salmon","plant-dominant"
"ABW","sunflower meal",0.034,"aquaculture","salmon","plant-dominant"
"ABW","wheat",0.065,"aquaculture","salmon","plant-dominant"
"ABW","wheat gluten",0.098,"aquaculture","salmon","plant-dominant"
"AUS","canola oil",0.184,"aquaculture","salmon","plant-dominant"
"AUS","coconut oil",0.001,"aquaculture","salmon","plant-dominant"
"AUS","corn gluten meal",0.007,"aquaculture","salmon","plant-dominant"
"AUS","faba beans",0.036,"aquaculture","salmon","plant-dominant"
"AUS","fish meal, cut offs",0.033,"aquaculture","salmon","plant-dominant"
"AUS","fish meal, forage fish",0.088,"aquaculture","salmon","plant-dominant"
"AUS","fish oil, cut offs",0.02,"aquaculture","salmon","plant-dominant"
"AUS","fish oil, forage fish",0.083,"aquaculture","salmon","plant-dominant"
"AUS","guar meal",0.043,"aquaculture","salmon","plant-dominant"
"AUS","linseed oil",0.013,"aquaculture","salmon","plant-dominant"
"AUS","micro ingredients",0.041,"aquaculture","salmon","plant-dominant"
"AUS","other",0.004,"aquaculture","salmon","plant-dominant"
"AUS","pea flour",0.025,"aquaculture","salmon","plant-dominant"
"AUS","pea protein concentrate",0.014,"aquaculture","salmon","plant-dominant"
"AUS","soy oil",0.004,"aquaculture","salmon","plant-dominant"
"AUS","soy protein concentrate",0.209,"aquaculture","salmon","plant-dominant"
"AUS","sunflower meal",0.034,"aquaculture","salmon","plant-dominant"
"AUS","wheat",0.065,"aquaculture","salmon","plant-dominant"
"AUS","wheat gluten",0.098,"aquaculture","salmon","plant-dominant"
"AUT","canola oil",0.184,"aquaculture","salmon","plant-dominant"
"AUT","coconut oil",0.001,"aquaculture","salmon","plant-dominant"
"AUT","corn gluten meal",0.007,"aquaculture","salmon","plant-dominant"
"AUT","faba beans",0.036,"aquaculture","salmon","plant-dominant"
"AUT","fish meal, cut offs",0.033,"aquaculture","salmon","plant-dominant"
"AUT","fish meal, forage fish",0.088,"aquaculture","salmon","plant-dominant"
"AUT","fish oil, cut offs",0.02,"aquaculture","salmon","plant-dominant"
"AUT","fish oil, forage fish",0.083,"aquaculture","salmon","plant-dominant"
"AUT","guar meal",0.043,"aquaculture","salmon","plant-dominant"
"AUT","linseed oil",0.013,"aquaculture","salmon","plant-dominant"
"AUT","micro ingredients",0.041,"aquaculture","salmon","plant-dominant"
"AUT","other",0.004,"aquaculture","salmon","plant-dominant"
"AUT","pea flour",0.025,"aquaculture","salmon","plant-dominant"
"AUT","pea protein concentrate",0.014,"aquaculture","salmon","plant-dominant"
"AUT","soy oil",0.004,"aquaculture","salmon","plant-dominant"
"AUT","soy protein concentrate",0.209,"aquaculture","salmon","plant-dominant"
"AUT","sunflower meal",0.034,"aquaculture","salmon","plant-dominant"
"AUT","wheat",0.065,"aquaculture","salmon","plant-dominant"
"AUT","wheat gluten",0.098,"aquaculture","salmon","plant-dominant"
"AZE","canola oil",0.184,"aquaculture","salmon","plant-dominant"
"AZE","coconut oil",0.001,"aquaculture","salmon","plant-dominant"
"AZE","corn gluten meal",0.007,"aquaculture","salmon","plant-dominant"
"AZE","faba beans",0.036,"aquaculture","salmon","plant-dominant"
"AZE","fish meal, cut offs",0.033,"aquaculture","salmon","plant-dominant"
"AZE","fish meal, forage fish",0.088,"aquaculture","salmon","plant-dominant"
"AZE","fish oil, cut offs",0.02,"aquaculture","salmon","plant-dominant"
"AZE","fish oil, forage fish",0.083,"aquaculture","salmon","plant-dominant"
"AZE","guar meal",0.043,"aquaculture","salmon","plant-dominant"
"AZE","linseed oil",0.013,"aquaculture","salmon","plant-dominant"
"AZE","micro ingredients",0.041,"aquaculture","salmon","plant-dominant"
"AZE","other",0.004,"aquaculture","salmon","plant-dominant"
"AZE","pea flour",0.025,"aquaculture","salmon","plant-dominant"
"AZE","pea protein concentrate",0.014,"aquaculture","salmon","plant-dominant"
"AZE","soy oil",0.004,"aquaculture","salmon","plant-dominant"
"AZE","soy protein concentrate",0.209,"aquaculture","salmon","plant-dominant"
"AZE","sunflower meal",0.034,"aquaculture","salmon","plant-dominant"
"AZE","wheat",0.065,"aquaculture","salmon","plant-dominant"
"AZE","wheat gluten",0.098,"aquaculture","salmon","plant-dominant"
"BHS","canola oil",0.184,"aquaculture","salmon","plant-dominant"
"BHS","coconut oil",0.001,"aquaculture","salmon","plant-dominant"
"BHS","corn gluten meal",0.007,"aquaculture","salmon","plant-dominant"
"BHS","faba beans",0.036,"aquaculture","salmon","plant-dominant"
"BHS","fish meal, cut offs",0.033,"aquaculture","salmon","plant-dominant"
"BHS","fish meal, forage fish",0.088,"aquaculture","salmon","plant-dominant"
"BHS","fish oil, cut offs",0.02,"aquaculture","salmon","plant-dominant"
"BHS","fish oil, forage fish",0.083,"aquaculture","salmon","plant-dominant"
"BHS","guar meal",0.043,"aquaculture","salmon","plant-dominant"
"BHS","linseed oil",0.013,"aquaculture","salmon","plant-dominant"
"BHS","micro ingredients",0.041,"aquaculture","salmon","plant-dominant"
"BHS","other",0.004,"aquaculture","salmon","plant-dominant"
"BHS","pea flour",0.025,"aquaculture","salmon","plant-dominant"
"BHS","pea protein concentrate",0.014,"aquaculture","salmon","plant-dominant"
"BHS","soy oil",0.004,"aquaculture","salmon","plant-dominant"
"BHS","soy protein concentrate",0.209,"aquaculture","salmon","plant-dominant"
"BHS","sunflower meal",0.034,"aquaculture","salmon","plant-dominant"
"BHS","wheat",0.065,"aquaculture","salmon","plant-dominant"
"BHS","wheat gluten",0.098,"aquaculture","salmon","plant-dominant"
"BHR","canola oil",0.184,"aquaculture","salmon","plant-dominant"
"BHR","coconut oil",0.001,"aquaculture","salmon","plant-dominant"
"BHR","corn gluten meal",0.007,"aquaculture","salmon","plant-dominant"
"BHR","faba beans",0.036,"aquaculture","salmon","plant-dominant"
"BHR","fish meal, cut offs",0.033,"aquaculture","salmon","plant-dominant"
"BHR","fish meal, forage fish",0.088,"aquaculture","salmon","plant-dominant"
"BHR","fish oil, cut offs",0.02,"aquaculture","salmon","plant-dominant"
"BHR","fish oil, forage fish",0.083,"aquaculture","salmon","plant-dominant"
"BHR","guar meal",0.043,"aquaculture","salmon","plant-dominant"
"BHR","linseed oil",0.013,"aquaculture","salmon","plant-dominant"
"BHR","micro ingredients",0.041,"aquaculture","salmon","plant-dominant"
"BHR","other",0.004,"aquaculture","salmon","plant-dominant"
"BHR","pea flour",0.025,"aquaculture","salmon","plant-dominant"
"BHR","pea protein concentrate",0.014,"aquaculture","salmon","plant-dominant"
"BHR","soy oil",0.004,"aquaculture","salmon","plant-dominant"
"BHR","soy protein concentrate",0.209,"aquaculture","salmon","plant-dominant"
"BHR","sunflower meal",0.034,"aquaculture","salmon","plant-dominant"
"BHR","wheat",0.065,"aquaculture","salmon","plant-dominant"
"BHR","wheat gluten",0.098,"aquaculture","salmon","plant-dominant"
"BGD","canola oil",0.184,"aquaculture","salmon","plant-dominant"
"BGD","coconut oil",0.001,"aquaculture","salmon","plant-dominant"
"BGD","corn gluten meal",0.007,"aquaculture","salmon","plant-dominant"
"BGD","faba beans",0.036,"aquaculture","salmon","plant-dominant"
"BGD","fish meal, cut offs",0.033,"aquaculture","salmon","plant-dominant"
"BGD","fish meal, forage fish",0.088,"aquaculture","salmon","plant-dominant"
"BGD","fish oil, cut offs",0.02,"aquaculture","salmon","plant-dominant"
"BGD","fish oil, forage fish",0.083,"aquaculture","salmon","plant-dominant"
"BGD","guar meal",0.043,"aquaculture","salmon","plant-dominant"
"BGD","linseed oil",0.013,"aquaculture","salmon","plant-dominant"
"BGD","micro ingredients",0.041,"aquaculture","salmon","plant-dominant"
"BGD","other",0.004,"aquaculture","salmon","plant-dominant"
"BGD","pea flour",0.025,"aquaculture","salmon","plant-dominant"
"BGD","pea protein concentrate",0.014,"aquaculture","salmon","plant-dominant"
"BGD","soy oil",0.004,"aquaculture","salmon","plant-dominant"
"BGD","soy protein concentrate",0.209,"aquaculture","salmon","plant-dominant"
"BGD","sunflower meal",0.034,"aquaculture","salmon","plant-dominant"
"BGD","wheat",0.065,"aquaculture","salmon","plant-dominant"
"BGD","wheat gluten",0.098,"aquaculture","salmon","plant-dominant"
"BRB","canola oil",0.184,"aquaculture","salmon","plant-dominant"
"BRB","coconut oil",0.001,"aquaculture","salmon","plant-dominant"
"BRB","corn gluten meal",0.007,"aquaculture","salmon","plant-dominant"
"BRB","faba beans",0.036,"aquaculture","salmon","plant-dominant"
"BRB","fish meal, cut offs",0.033,"aquaculture","salmon","plant-dominant"
"BRB","fish meal, forage fish",0.088,"aquaculture","salmon","plant-dominant"
"BRB","fish oil, cut offs",0.02,"aquaculture","salmon","plant-dominant"
"BRB","fish oil, forage fish",0.083,"aquaculture","salmon","plant-dominant"
"BRB","guar meal",0.043,"aquaculture","salmon","plant-dominant"
"BRB","linseed oil",0.013,"aquaculture","salmon","plant-dominant"
"BRB","micro ingredients",0.041,"aquaculture","salmon","plant-dominant"
"BRB","other",0.004,"aquaculture","salmon","plant-dominant"
"BRB","pea flour",0.025,"aquaculture","salmon","plant-dominant"
"BRB","pea protein concentrate",0.014,"aquaculture","salmon","plant-dominant"
"BRB","soy oil",0.004,"aquaculture","salmon","plant-dominant"
"BRB","soy protein concentrate",0.209,"aquaculture","salmon","plant-dominant"
"BRB","sunflower meal",0.034,"aquaculture","salmon","plant-dominant"
"BRB","wheat",0.065,"aquaculture","salmon","plant-dominant"
"BRB","wheat gluten",0.098,"aquaculture","salmon","plant-dominant"
"BLR","canola oil",0.184,"aquaculture","salmon","plant-dominant"
"BLR","coconut oil",0.001,"aquaculture","salmon","plant-dominant"
"BLR","corn gluten meal",0.007,"aquaculture","salmon","plant-dominant"
"BLR","faba beans",0.036,"aquaculture","salmon","plant-dominant"
"BLR","fish meal, cut offs",0.033,"aquaculture","salmon","plant-dominant"
"BLR","fish meal, forage fish",0.088,"aquaculture","salmon","plant-dominant"
"BLR","fish oil, cut offs",0.02,"aquaculture","salmon","plant-dominant"
"BLR","fish oil, forage fish",0.083,"aquaculture","salmon","plant-dominant"
"BLR","guar meal",0.043,"aquaculture","salmon","plant-dominant"
"BLR","linseed oil",0.013,"aquaculture","salmon","plant-dominant"
"BLR","micro ingredients",0.041,"aquaculture","salmon","plant-dominant"
"BLR","other",0.004,"aquaculture","salmon","plant-dominant"
"BLR","pea flour",0.025,"aquaculture","salmon","plant-dominant"
"BLR","pea protein concentrate",0.014,"aquaculture","salmon","plant-dominant"
"BLR","soy oil",0.004,"aquaculture","salmon","plant-dominant"
"BLR","soy protein concentrate",0.209,"aquaculture","salmon","plant-dominant"
"BLR","sunflower meal",0.034,"aquaculture","salmon","plant-dominant"
"BLR","wheat",0.065,"aquaculture","salmon","plant-dominant"
"BLR","wheat gluten",0.098,"aquaculture","salmon","plant-dominant"
"BEL","canola oil",0.184,"aquaculture","salmon","plant-dominant"
