BINOMIAL,AOH_name,excluded,ORDER,Red_List_Category_2019,Model_prevalence,Point_prevalence,Number_of_Validation_Points,Point_validation
Mormopterus phrudus,Mormopterus_phrudus,no,CHIROPTERA,VU,0.212823577448483,0,0,No
Musonycteris harrisoni,Musonycteris_harrisoni,no,CHIROPTERA,VU,0.617943241726739,0,0,No
Myotis albescens,Myotis_albescens,no,CHIROPTERA,LC,0.660956402608717,0,0,No
Myotis atacamensis,Myotis_atacamensis,no,CHIROPTERA,EN,0.66995288200583,0,0,No
Myotis austroriparius,Myotis_austroriparius,no,CHIROPTERA,LC,0.680516251448895,0,0,No
Myotis ciliolabrum,Myotis_ciliolabrum,no,CHIROPTERA,LC,0.18704590158601,0,0,No
Myotis cobanensis,Myotis_cobanensis,no,CHIROPTERA,DD,1,0,0,No
Myotis dominicensis,Myotis_dominicensis,no,CHIROPTERA,VU,0.101196245732209,0,0,No
Myotis elegans,Myotis_elegans,no,CHIROPTERA,LC,0.441451666714593,0,0,No
Myotis evotis,Myotis_evotis,no,CHIROPTERA,LC,0.432516498959499,0,0,No
Myotis fortidens,Myotis_fortidens,no,CHIROPTERA,LC,0.540533137827731,0,0,No
Myotis grisescens,Myotis_grisescens,no,CHIROPTERA,VU,0.6305659302511,0,0,No
Myotis leibii,Myotis_leibii,no,CHIROPTERA,EN,0.662994440055799,0,0,No
Myotis levis,Myotis_levis,no,CHIROPTERA,LC,0.245114273257513,0,0,No
Myotis lucifugus,Myotis_lucifugus,no,CHIROPTERA,EN,0.536021539291478,0,0,No
Myotis melanorhinus,Myotis_melanorhinus,no,CHIROPTERA,LC,0.270307913994206,0,0,No
Myotis riparius,Myotis_riparius,no,CHIROPTERA,LC,0.668587865299122,0,0,No
Myotis septentrionalis,Myotis_septentrionalis,no,CHIROPTERA,NT,0.642969644658014,0,0,No
Myotis sodalis,Myotis_sodalis,no,CHIROPTERA,NT,0.577549634978032,0,0,No
Myotis thysanodes,Myotis_thysanodes,no,CHIROPTERA,LC,0.667976414333611,0,0,No
Myotis velifer,Myotis_velifer,no,CHIROPTERA,LC,0.312589950896786,0,0,No
Myotis vivesi,Myotis_vivesi,no,CHIROPTERA,VU,0.232012260200781,0,0,No
Myotis volans,Myotis_volans,no,CHIROPTERA,LC,0.63465466278516,0,0,No
Myotis yumanensis,Myotis_yumanensis,no,CHIROPTERA,LC,0.337257105739595,0,0,No
Natalus major,Natalus_major,no,CHIROPTERA,NT,0.559065312174138,0,0,No
Neonycteris pusilla,Neonycteris_pusilla,no,CHIROPTERA,DD,0.989454459835464,0,0,No
Noctilio albiventris,Noctilio_albiventris,no,CHIROPTERA,LC,0.734700922665422,0,0,No
Noctilio leporinus,Noctilio_leporinus,no,CHIROPTERA,LC,0.758028241355951,0,0,No
Nycticeius humeralis,Nycticeius_humeralis,no,CHIROPTERA,LC,0.425364437955378,0.789473684210526,19,Yes
Nyctinomops femorosaccus,Nyctinomops_femorosaccus,no,CHIROPTERA,LC,0.132213890264875,0,0,No
Nyctinomops laticaudatus,Nyctinomops_laticaudatus,no,CHIROPTERA,LC,0.632281859806385,0,0,No
Nyctinomops macrotis,Nyctinomops_macrotis,no,CHIROPTERA,LC,0.605778350333106,0,0,No
Peropteryx leucoptera,Peropteryx_leucoptera,no,CHIROPTERA,LC,0.86186760884495,0,0,No
Peropteryx macrotis,Peropteryx_macrotis,no,CHIROPTERA,LC,0.77117399952148,0,0,No
Peropteryx trinitatis,Peropteryx_trinitatis,no,CHIROPTERA,DD,0.716082639197271,0,0,No
Phylloderma stenops,Phylloderma_stenops,no,CHIROPTERA,LC,0.84921654685137,0,0,No
Phyllonycteris poeyi,Phyllonycteris_poeyi,no,CHIROPTERA,LC,0.625426011001561,0,0,No
Phyllops falcatus,Phyllops_falcatus,no,CHIROPTERA,LC,0.555665210059507,0,0,No
Phyllostomus discolor,Phyllostomus_discolor,no,CHIROPTERA,LC,0.772024991456726,0,0,No
Phyllostomus elongatus,Phyllostomus_elongatus,no,CHIROPTERA,LC,0.701548620405072,0,0,No
Phyllostomus hastatus,Phyllostomus_hastatus,no,CHIROPTERA,LC,0.7679420439103,0,0,No
Platalina genovensium,Platalina_genovensium,no,CHIROPTERA,NT,0.0843482380025397,0,0,No
Platyrrhinus albericoi,Platyrrhinus_albericoi,no,CHIROPTERA,LC,0.100427391200311,0,0,No
Platyrrhinus aurarius,Platyrrhinus_aurarius,no,CHIROPTERA,LC,0.405864379633287,0,0,No
Platyrrhinus brachycephalus,Platyrrhinus_brachycephalus,no,CHIROPTERA,LC,0.869434172051614,0,0,No
Platyrrhinus chocoensis,Platyrrhinus_chocoensis,no,CHIROPTERA,VU,0.82441973364431,0,0,No
Platyrrhinus infuscus,Platyrrhinus_infuscus,no,CHIROPTERA,LC,0.608883224806665,0,0,No
Platyrrhinus ismaeli,Platyrrhinus_ismaeli,no,CHIROPTERA,NT,0.274102414272893,0,0,No
Platyrrhinus lineatus,Platyrrhinus_lineatus,no,CHIROPTERA,LC,0.442372007923219,0,0,No
Platyrrhinus masu,Platyrrhinus_masu,no,CHIROPTERA,LC,0.3974611943395,0,0,No
Platyrrhinus matapalensis,Platyrrhinus_matapalensis,no,CHIROPTERA,NT,0.53004782801246,0,0,No
Platyrrhinus nigellus,Platyrrhinus_nigellus,no,CHIROPTERA,LC,0.53030837822227,0,0,No
Platyrrhinus vittatus,Platyrrhinus_vittatus,no,CHIROPTERA,LC,0.610633420224987,0,0,No
Pteronotus gymnonotus,Pteronotus_gymnonotus,no,CHIROPTERA,LC,0.511167831125641,0,0,No
Pteronotus personatus,Pteronotus_personatus,no,CHIROPTERA,LC,0.467011595264345,0,0,No
Pygoderma bilabiatum,Pygoderma_bilabiatum,no,CHIROPTERA,LC,0.459196111290068,0,0,No
Rhinophylla alethina,Rhinophylla_alethina,no,CHIROPTERA,NT,0.823433129502757,0,0,No
Rhinophylla fischerae,Rhinophylla_fischerae,no,CHIROPTERA,LC,0.88939035964404,0,0,No
Rhinophylla pumilio,Rhinophylla_pumilio,no,CHIROPTERA,LC,0.757074020046909,0,0,No
Rhogeessa aeneus,Rhogeessa_aeneus,no,CHIROPTERA,LC,0.490746491941421,0,0,No
Rhogeessa genowaysi,Rhogeessa_genowaysi,no,CHIROPTERA,EN,1,0,0,No
Rhogeessa hussoni,Rhogeessa_hussoni,no,CHIROPTERA,DD,0.521198783772056,0,0,No
Rhogeessa minutilla,Rhogeessa_minutilla,no,CHIROPTERA,VU,0.399442924994961,0,0,No
Rhogeessa mira,Rhogeessa_mira,no,CHIROPTERA,VU,0.178221959152169,0,0,No
Rhogeessa parvula,Rhogeessa_parvula,no,CHIROPTERA,LC,0.389271400934265,0,0,No
Rhynchonycteris naso,Rhynchonycteris_naso,no,CHIROPTERA,LC,0.684836179396933,0.962962962962963,54,Yes
Saccopteryx antioquensis,Saccopteryx_antioquensis,no,CHIROPTERA,EN,0.321225518158936,0,0,No
Saccopteryx bilineata,Saccopteryx_bilineata,no,CHIROPTERA,LC,0.565290437478126,0.857142857142857,14,Yes
Sturnira aratathomasi,Sturnira_aratathomasi,no,CHIROPTERA,LC,0.337676021335613,0,0,No
Sturnira bidens,Sturnira_bidens,no,CHIROPTERA,LC,0.178953184207939,0,0,No
Sturnira bogotensis,Sturnira_bogotensis,no,CHIROPTERA,LC,0.302754729848776,0,0,No
Sturnira erythromos,Sturnira_erythromos,no,CHIROPTERA,LC,0.395716540951442,0.416666666666667,12,Yes
Sturnira magna,Sturnira_magna,no,CHIROPTERA,LC,0.793972867235992,0,0,No
Sturnira mistratensis,Sturnira_mistratensis,no,CHIROPTERA,DD,0.628032260551532,0,0,No
Sturnira oporaphilum,Sturnira_oporaphilum,no,CHIROPTERA,LC,0.342911786522705,0,0,No
Sturnira tildae,Sturnira_tildae,no,CHIROPTERA,LC,0.694323461480892,0,0,No
Tadarida brasiliensis,Tadarida_brasiliensis,no,CHIROPTERA,LC,0.643198044750032,0.945205479452055,146,Yes
Thyroptera devivoi,Thyroptera_devivoi,no,CHIROPTERA,DD,0.538830273757619,0,0,No
Thyroptera lavali,Thyroptera_lavali,no,CHIROPTERA,DD,0.929791118983626,0,0,No
Thyroptera tricolor,Thyroptera_tricolor,no,CHIROPTERA,LC,0.819900481570291,0,0,No
Trachops cirrhosus,Trachops_cirrhosus,no,CHIROPTERA,LC,0.666292916369422,0,0,No
Trinycteris nicefori,Trinycteris_nicefori,no,CHIROPTERA,LC,0.719639724135998,0,0,No
Uroderma magnirostrum,Uroderma_magnirostrum,no,CHIROPTERA,LC,0.685320862243853,0,0,No
Vampyressa melissa,Vampyressa_melissa,no,CHIROPTERA,VU,0.212433488116133,0,0,No
Vampyressa thyone,Vampyressa_thyone,no,CHIROPTERA,LC,0.662572232854934,0,0,No
Xeronycteris vieirai,Xeronycteris_vieirai,no,CHIROPTERA,DD,0.84783193724195,0,0,No
Caenolestes convelatus,Caenolestes_convelatus,no,PAUCITUBERCULATA,VU,0.691184721739795,0,0,No
Caenolestes fuliginosus,Caenolestes_fuliginosus,no,PAUCITUBERCULATA,LC,0.519675981226948,0,0,No
Caluromys derbianus,Caluromys_derbianus,no,DIDELPHIMORPHIA,LC,0.646847238987009,1,10,Yes
Caluromys lanatus,Caluromys_lanatus,no,DIDELPHIMORPHIA,LC,0.828106572791687,0,0,No
Caluromysiops irrupta,Caluromysiops_irrupta,no,DIDELPHIMORPHIA,LC,0.739771131400858,0,0,No
Chironectes minimus,Chironectes_minimus,no,DIDELPHIMORPHIA,LC,0.811979171097912,0,0,No
Cryptonanus chacoensis,Cryptonanus_chacoensis,no,DIDELPHIMORPHIA,LC,0.781598730647184,0,0,No
Cryptonanus unduaviensis,Cryptonanus_unduaviensis,no,DIDELPHIMORPHIA,DD,0.943081703041615,0,0,No
Didelphis albiventris,Didelphis_albiventris,no,DIDELPHIMORPHIA,LC,0.597558257822689,0.906976744186046,43,Yes
Didelphis marsupialis,Didelphis_marsupialis,no,DIDELPHIMORPHIA,LC,0.825139034822005,0.911764705882353,102,Yes
Didelphis pernigra,Didelphis_pernigra,no,DIDELPHIMORPHIA,LC,0.282514484107714,1,12,Yes
Didelphis virginiana,Didelphis_virginiana,no,DIDELPHIMORPHIA,LC,0.614168973894989,0.979570455735987,1909,Yes
Dromiciops gliroides,Dromiciops_gliroides,no,MICROBIOTHERIA,NT,0.590826582982058,1,21,Yes
Gracilinanus aceramarcae,Gracilinanus_aceramarcae,no,DIDELPHIMORPHIA,LC,0.15060059698029,0,0,No
Gracilinanus microtarsus,Gracilinanus_microtarsus,no,DIDELPHIMORPHIA,LC,0.623435927834455,0,0,No
Lestodelphys halli,Lestodelphys_halli,no,DIDELPHIMORPHIA,LC,0.989696683785587,0,0,No
Lestoros inca,Lestoros_inca,no,PAUCITUBERCULATA,LC,0.285392423169514,0,0,No
Marmosa andersoni,Marmosa_andersoni,no,DIDELPHIMORPHIA,DD,0.992515184551346,0,0,No
Marmosa murina,Marmosa_murina,no,DIDELPHIMORPHIA,LC,0.810246153480125,0,0,No
Marmosa quichua,Marmosa_quichua,no,DIDELPHIMORPHIA,LC,0.786137125911548,0,0,No
Marmosa rubra,Marmosa_rubra,no,DIDELPHIMORPHIA,DD,0.981957561480409,0,0,No
Marmosa tyleriana,Marmosa_tyleriana,no,DIDELPHIMORPHIA,DD,0.124793214902021,0,0,No
Marmosa xerophila,Marmosa_xerophila,no,DIDELPHIMORPHIA,VU,0.573858797884018,0,0,No
