iso3c_producing,product,animal_system,SPAM_super,prop_produced_for_system,prop_extra_for_system,total_prop
ARG,cake of sunflower seed,salmon_aquaculture_meat,xoil,8.726409497631181e-4,3.8070414349528024e-7,8.730216539066134e-4
ARG,oil of linseed,salmon_aquaculture_meat,xoil,2.996102180459205e-4,2.316701494517025e-23,2.996102180459205e-4
ARG,oil of rapeseed,salmon_aquaculture_meat,xoil,0.004240636932342259,4.5932113091394736e-5,0.004286569045433654
ARG,faba bean,salmon_aquaculture_meat,xpul,0.023100774007461546,2.411508976263277e-5,0.02312488909722418
ARG,guar protein,salmon_aquaculture_meat,xpul,0.031355217244976225,3.761420359019092e-5,0.031392831448566416
ARG,pea other,salmon_aquaculture_meat,xpul,0.018229777468009436,1.6039611736272095e-5,0.018245817079745708
ARG,pea protein,salmon_aquaculture_meat,xpul,0.010208675382085284,5.642429132224732e-6,0.010214317811217509
ARM,oil of coconuts,salmon_aquaculture_meat,cnut,0,0,0
ARM,maize gluten,salmon_aquaculture_meat,maiz,4.1598954557644435e-10,-4.785955532942326e-23,4.159895455763965e-10
ARM,oil of soya bean,salmon_aquaculture_meat,soyb,0,0,0
ARM,soy protein concentrate,salmon_aquaculture_meat,soyb,0,0,0
ARM,wheat,salmon_aquaculture_meat,whea,1.9196225111175943e-7,1.9793936117913885e-9,1.9394164472355083e-7
ARM,wheat gluten,salmon_aquaculture_meat,whea,2.923434438065645e-7,7.076645411036756e-9,2.9942008921760125e-7
ARM,cake of sunflower seed,salmon_aquaculture_meat,xoil,6.647301325688962e-4,3.8078336513691216e-7,6.65110915934033e-4
ARM,oil of linseed,salmon_aquaculture_meat,xoil,2.2822667216651173e-4,2.316866918447148e-23,2.2822667216651173e-4
ARM,oil of rapeseed,salmon_aquaculture_meat,xoil,0.0032302852060490887,4.597871831698982e-5,0.0032762639243660787
ARM,faba bean,salmon_aquaculture_meat,xpul,7.993300714601725e-6,2.4685142911202107e-5,3.267844362580383e-5
ARM,guar protein,salmon_aquaculture_meat,xpul,1.0849492762874815e-5,3.8831361263496374e-5,4.9680854026371186e-5
ARM,pea other,salmon_aquaculture_meat,xpul,6.307844629578382e-6,1.6337336571002693e-5,2.2645181200581074e-5
ARM,pea protein,salmon_aquaculture_meat,xpul,3.532392992563894e-6,5.70060482508848e-6,9.232997817652374e-6
ASM,oil of coconuts,salmon_aquaculture_meat,cnut,8.92511523079886e-6,-9.841997521384984e-22,8.925115230798858e-6
ASM,maize gluten,salmon_aquaculture_meat,maiz,0,0,0
ASM,oil of soya bean,salmon_aquaculture_meat,soyb,0,0,0
ASM,soy protein concentrate,salmon_aquaculture_meat,soyb,0,0,0
ASM,wheat,salmon_aquaculture_meat,whea,0,0,0
ASM,wheat gluten,salmon_aquaculture_meat,whea,0,0,0
ASM,cake of sunflower seed,salmon_aquaculture_meat,xoil,0,0,0
ASM,oil of linseed,salmon_aquaculture_meat,xoil,0,0,0
ASM,oil of rapeseed,salmon_aquaculture_meat,xoil,0,0,0
ASM,faba bean,salmon_aquaculture_meat,xpul,0,0,0
ASM,guar protein,salmon_aquaculture_meat,xpul,0,0,0
ASM,pea other,salmon_aquaculture_meat,xpul,0,0,0
ASM,pea protein,salmon_aquaculture_meat,xpul,0,0,0
ATG,oil of coconuts,salmon_aquaculture_meat,cnut,0,0,0
ATG,maize gluten,salmon_aquaculture_meat,maiz,2.2662477113034483e-4,-4.784870918855489e-23,2.2662477113034483e-4
ATG,oil of soya bean,salmon_aquaculture_meat,soyb,0,0,0
ATG,soy protein concentrate,salmon_aquaculture_meat,soyb,0,0,0
ATG,wheat,salmon_aquaculture_meat,whea,0,0,0
ATG,wheat gluten,salmon_aquaculture_meat,whea,0,0,0
ATG,cake of sunflower seed,salmon_aquaculture_meat,xoil,0.006029986428693475,3.78739005842427e-7,0.006030365167699317
ATG,oil of linseed,salmon_aquaculture_meat,xoil,0.002070319470115647,2.3125980603155842e-23,0.002070319470115647
ATG,oil of rapeseed,salmon_aquaculture_meat,xoil,0.029302983269329157,4.477604409623133e-5,0.029347759313425387
ATG,faba bean,salmon_aquaculture_meat,xpul,0,0,0
ATG,guar protein,salmon_aquaculture_meat,xpul,0,0,0
ATG,pea other,salmon_aquaculture_meat,xpul,0,0,0
ATG,pea protein,salmon_aquaculture_meat,xpul,0,0,0
AUS,oil of coconuts,salmon_aquaculture_meat,cnut,0,0,0
