iso3c_producing,diet,fcr_type,source_ingredient,FAOSTAT_name,FAO_code,total_crop_demand_ms,total_crop_demand_ge,total_crop_demand_econ,GAEZ_category,SPAM_super,tonnes_producing_crop,prop_produced_for_system_ms,prop_produced_for_system_ge,prop_produced_for_system_econ
AGO,plant-dominant,regular,wheat,Wheat,15,3.94275581831832e-6,3.94275581831832e-6,3.94275581831832e-6,Wheat,whea,737.26617431640625,5.347805115261183e-9,5.347805115261183e-9,5.347805115261183e-9
AGO,plant-dominant,regular,wheat gluten,Wheat,15,5.94446261838761e-6,6.62338048371154e-6,1.51854391497475e-5,Wheat,whea,737.26617431640625,8.062844635316844e-9,8.983703192205642e-9,2.0596956267290374e-8
ALA,fish-dominant,efficient,wheat,Wheat,15,2.69827014536961e-5,2.69827014536961e-5,2.69827014536961e-5,Wheat,whea,6090.718458175659,4.4301344150092555e-9,4.4301344150092555e-9,4.4301344150092555e-9
ALA,fish-dominant,efficient,wheat gluten,Wheat,15,5.01107312711499e-5,5.58338845464679e-5,1.28010471142268e-4,Wheat,whea,6090.718458175659,8.227392485017189e-9,9.167044073679233e-9,2.1017302313561663e-8
ALA,fish-dominant,regular,wheat,Wheat,15,3.50775118898049e-5,3.50775118898049e-5,3.50775118898049e-5,Wheat,whea,6090.718458175659,5.759174739512027e-9,5.759174739512027e-9,5.759174739512027e-9
ALA,fish-dominant,regular,wheat gluten,Wheat,15,6.51439506524949e-5,7.25840499104082e-5,1.66413612484948e-4,Wheat,whea,6090.718458175659,1.0695610230522351e-8,1.1917157295782992e-8,2.7322493007630096e-8
ALA,plant-dominant,efficient,canola oil,Rape or colza seed,270,3.05913347763667e-5,4.82103592032364e-5,5.12646939767934e-5,Rapeseed,rape,196.18280029296875,1.559328072118619e-7,2.4574202800266723e-7,2.613108483528499e-7
ALA,plant-dominant,efficient,coconut oil,"Coconuts, in shell",249,6.36784810388066e-11,1.29497485212395e-10,2.29485524821109e-10,CropsNES,cnut,121.0432789325714,5.260802714562901e-13,1.0698444916097582e-12,1.895896466493994e-12
ALA,plant-dominant,efficient,linseed oil,Linseed,333,8.47888623286412e-10,1.36793796304712e-9,1.24206444815564e-9,CropsNES,ooil,121.0432789325714,7.004838523572535e-12,1.1301230230297595e-11,1.0261325197969454e-11
ALA,plant-dominant,efficient,wheat,Wheat,15,2.5055365635575e-5,2.5055365635575e-5,2.5055365635575e-5,Wheat,whea,6090.718458175659,4.113696242508603e-9,4.113696242508603e-9,4.113696242508603e-9
ALA,plant-dominant,efficient,wheat gluten,Wheat,15,3.77757820351746e-5,4.2090159119645e-5,9.65002013226326e-5,Wheat,whea,6090.718458175659,6.202188181012968e-9,6.910540917081264e-9,1.5843812513300298e-8
ALA,plant-dominant,regular,canola oil,Rape or colza seed,270,3.97687352092767e-5,6.26734669642073e-5,6.66441021698314e-5,Rapeseed,rape,196.18280029296875,2.0271264937542043e-7,3.1946463640346727e-7,3.397041028587048e-7
ALA,plant-dominant,regular,coconut oil,"Coconuts, in shell",249,8.27820253504485e-11,1.68346730776113e-10,2.98331182267441e-10,CropsNES,cnut,121.0432789325714,6.839043528931765e-13,1.3907978390926814e-12,2.4646654064421864e-12
ALA,plant-dominant,regular,linseed oil,Linseed,333,1.10225521027234e-9,1.77831935196126e-9,1.61468378260233e-9,CropsNES,ooil,121.0432789325714,9.106290080644333e-12,1.469159929938691e-11,1.3339722757360273e-11
