iso3c_producing,diet,source_ingredient,SPAM_super.x,GAEZ_category,prop_produced_for_system_ms,prop_produced_for_system_ge,prop_produced_for_system_econ,SPAM_super.y,prop_extra_for_system_ms,prop_extra_for_system_ge,prop_extra_for_system_econ,total_prop_ms,total_prop_ge,total_prop_econ
UZB,plant-dominant,pea protein concentrate,opul,Pulses,1.1543811831370142e-5,1.4325179849785859e-5,2.47264989952411e-5,opul,1.1332005912616185e-5,1.4414315241464629e-5,-1.0390781238422438e-4,2.287581774398633e-5,2.8739495091250488e-5,-7.918131338898327e-5
UZB,plant-dominant,sunflower meal,sunf,Sunflower,1.1188365966343642e-4,5.9972609852755346e-5,4.640780063830779e-5,sunf,2.6341016303160676e-5,8.960271523930293e-6,4.2009044799345784e-4,1.382246759665971e-4,6.893288137668563e-5,4.6649824863176565e-4
UZB,plant-dominant,wheat,whea,Wheat,5.3478051152611755e-9,5.3478051152611755e-9,5.3478051152611755e-9,whea,-2.0681115222268035e-21,-2.0681746033152777e-21,-2.068970470280979e-21,5.3478051152591075e-9,5.3478051152591075e-9,5.347805115259107e-9
UZB,plant-dominant,wheat gluten,whea,Wheat,8.06284463531685e-9,8.983703192205635e-9,2.0596956267290324e-8,whea,3.000906197519117e-22,1.7778690158359815e-21,-1.65403424775581e-4,8.062844635317149e-9,8.983703192207414e-9,-1.6538282781931372e-4
VEN,fish-dominant,corn gluten meal,maiz,Maize,2.733014821355519e-10,3.4409349663317807e-10,1.4462731887950807e-10,maiz,1.03705233010513e-6,1.310785762292271e-6,3.893788295469809e-5,1.0373256315872656e-6,1.3111298557889043e-6,3.8938027582016964e-5
VEN,fish-dominant,faba beans,opul,Pulses,1.535047538848337e-5,1.535047538848337e-5,1.535047538848337e-5,opul,1.3446103390543934e-5,1.3446839662929863e-5,1.344565224406838e-5,2.8796578779027302e-5,2.8797315051413234e-5,2.879612763255175e-5
VEN,fish-dominant,soybean meal,soyb,Soybean,5.683816908627053e-5,4.29663135161937e-5,4.7975680959745576e-5,soyb,6.487077079903359e-7,4.4927005909834984e-7,-5.1594161974233404e-5,5.7486876794260865e-5,4.341558357529205e-5,-3.6184810144878284e-6
VEN,plant-dominant,coconut oil,cnut,CropsNES,2.2876713898602085e-8,4.652241811463801e-8,8.244346613738613e-8,cnut,-6.808328940524673e-24,-4.366462938350411e-23,-6.367448901003265e-6,2.2876713898602078e-8,4.652241811463796e-8,-6.2850054348658786e-6
VEN,plant-dominant,corn gluten meal,maiz,Maize,4.7827759373721574e-11,6.021636191080618e-11,2.530978080391398e-11,maiz,1.6527238648993423e-7,2.1317548275480385e-7,6.797918208937762e-6,1.6532021424930796e-7,2.1323569911671467e-7,6.7979435187185654e-6
VEN,plant-dominant,faba beans,opul,Pulses,2.763085569927009e-5,2.763085569927009e-5,2.763085569927009e-5,opul,3.2005244970723234e-5,3.20069974916873e-5,3.20041711240445e-5,5.963610066999332e-5,5.963785319095739e-5,5.963502682331459e-5
VEN,plant-dominant,guar meal,opul,Pulses,3.300352208523934e-5,3.5164875402671804e-5,1.479468231407276e-5,opul,4.01772789528186e-5,4.346713643234261e-5,2.505642643211681e-4,7.318080103805793e-5,7.863201183501442e-5,2.6535894663524083e-4
