iso3c_producing,diet,product,animal_system,SPAM_super,prop_produced_for_system,prop_extra_for_system,total_prop
ALB,fish-dominant,faba bean,salmon_aquaculture_meat,xpul,6.57955273765616e-7,3.934830763044939e-6,4.5927860368105555e-6
ALB,fish-dominant,guar protein,salmon_aquaculture_meat,xpul,0,0,0
ALB,fish-dominant,pea other,salmon_aquaculture_meat,xpul,0,0,0
ALB,fish-dominant,pea protein,salmon_aquaculture_meat,xpul,0,0,0
ALB,plant-dominant,oil of coconuts,salmon_aquaculture_meat,cnut,0,0,0
ALB,plant-dominant,maize gluten,salmon_aquaculture_meat,maiz,8.410928582607594e-11,-2.3931227657925574e-23,8.4109285826052e-11
ALB,plant-dominant,oil of soya bean,salmon_aquaculture_meat,soyb,7.819396915092543e-12,6.533530679462453e-9,6.541350076377545e-9
ALB,plant-dominant,soy protein concentrate,salmon_aquaculture_meat,soyb,4.5034839107861117e-10,4.943649442234309e-7,4.948152926145095e-7
ALB,plant-dominant,wheat,salmon_aquaculture_meat,whea,5.387602305774527e-9,9.897405767373499e-10,6.3773428825118764e-9
ALB,plant-dominant,wheat gluten,salmon_aquaculture_meat,whea,8.20489550840565e-9,3.5384795384321817e-9,1.1743375046837832e-8
ALB,plant-dominant,cake of sunflower seed,salmon_aquaculture_meat,xoil,2.809964496572929e-7,1.904351300742015e-7,4.714315797314944e-7
ALB,plant-dominant,oil of linseed,salmon_aquaculture_meat,xoil,9.647657215124339e-8,1.1581921371381966e-23,9.64765721512434e-8
ALB,plant-dominant,oil of rapeseed,salmon_aquaculture_meat,xoil,1.3655145596791375e-6,2.3053765454136322e-5,2.441928001381546e-5
ALB,plant-dominant,faba bean,salmon_aquaculture_meat,xpul,1.1843194927781088e-6,1.2336188191886632e-5,1.352050768466474e-5
ALB,plant-dominant,guar protein,salmon_aquaculture_meat,xpul,1.6075043620409937e-6,1.9405686550677516e-5,2.101319091271851e-5
ALB,plant-dominant,pea other,salmon_aquaculture_meat,xpul,9.34595559326159e-7,8.164431936196659e-6,9.099027495522818e-6
