iso3c_producing,diet,fcr_type,source_ingredient,FAOSTAT_name,FAO_code,total_crop_demand_ms,total_crop_demand_ge,total_crop_demand_econ,GAEZ_category,SPAM_super,tonnes_producing_crop,prop_produced_for_system_ms,prop_produced_for_system_ge,prop_produced_for_system_econ
ALA,fish-dominant,regular,wheat,Wheat,15,3.507751188980495e-5,3.507751188980495e-5,3.507751188980495e-5,Wheat,whea,6090.718458175659,5.7591747395120355e-9,5.7591747395120355e-9,5.7591747395120355e-9
ALA,fish-dominant,regular,wheat gluten,Wheat,15,6.514395065249491e-5,7.258404991040824e-5,1.664136124849481e-4,Wheat,whea,6090.718458175659,1.0695610230522353e-8,1.1917157295782999e-8,2.732249300763011e-8
ALA,plant-dominant,efficient,canola oil,Rape or colza seed,270,3.5791861688349e-5,0.01408239565003451,0.04266390512361936,Rapeseed,rape,196.18280029296875,1.8244138443787824e-7,7.178200957986442e-5,2.1747016078834332e-4
ALA,plant-dominant,efficient,coconut oil,"Coconuts, in shell",249,9.559413573545643e-9,1.9440162480084715e-8,3.445036698614486e-8,CropsNES,cnut,121.0432789325714,7.897517035101824e-11,1.606050550804567e-10,2.8461197755007817e-10
ALA,plant-dominant,efficient,linseed oil,Linseed,333,1.2728504012775626e-7,2.0535484701263363e-7,1.8645871495712477e-7,CropsNES,ooil,121.0432789325714,1.0515663591587098e-9,1.6965406821722749e-9,1.5404301387191752e-9
ALA,plant-dominant,efficient,wheat,Wheat,15,2.9314777793622705e-5,2.9314777793622705e-5,2.9314777793622705e-5,Wheat,whea,6090.718458175659,4.813024603735058e-9,4.813024603735058e-9,4.813024603735058e-9
ALA,plant-dominant,efficient,wheat gluten,Wheat,15,4.419766498115424e-5,4.924548616998466e-5,1.1290523554748015e-4,Wheat,whea,6090.718458175659,7.256560171785165e-9,8.08533287298508e-9,1.853726064056135e-8
ALA,plant-dominant,regular,canola oil,Rape or colza seed,270,3.9768735209276674e-5,0.0642087803331212,0.0959660130815488,Rapeseed,rape,196.18280029296875,2.027126493754203e-7,3.272905689858402e-4,4.891662925508167e-4
ALA,plant-dominant,regular,coconut oil,"Coconuts, in shell",249,1.0621570637272938e-8,2.160018053342746e-8,3.8278185540160954e-8,CropsNES,cnut,121.0432789325714,8.775018927890917e-11,1.7845006120050746e-10,3.1623553061119794e-10
ALA,plant-dominant,regular,linseed oil,Linseed,333,1.4142782236417364e-7,2.281720522362596e-7,2.0717634995236086e-7,CropsNES,ooil,121.0432789325714,1.1684070657319e-9,1.885045202413639e-9,1.7115890430213057e-9
ALA,plant-dominant,regular,wheat,Wheat,15,3.257197532624745e-5,3.257197532624745e-5,3.257197532624745e-5,Wheat,whea,6090.718458175659,5.3478051152611755e-9,5.3478051152611755e-9,5.3478051152611755e-9
ALA,plant-dominant,regular,wheat gluten,Wheat,15,4.910851664572693e-5,5.471720685553851e-5,1.2545026171942238e-4,Wheat,whea,6090.718458175659,8.06284463531685e-9,8.983703192205643e-9,2.0596956267290387e-8
ALB,fish-dominant,efficient,corn gluten meal,Maize (corn),56,9.97050568250421e-5,1.2553119495313414e-4,5.276252047613415e-5,Maize,maiz,410507.8589682579,2.428822119889103e-10,3.057948641193754e-10,1.2852986690375144e-10
ALB,fish-dominant,efficient,faba beans,"Broad beans and horse beans, dry",181,0.003550578084603245,0.003550578084603245,0.003550578084603245,Pulses,opul,25147.192047245335,1.4119183079894525e-7,1.4119183079894525e-7,1.4119183079894525e-7
ALB,fish-dominant,efficient,soybean meal,Soya beans,236,7.729459648695119e-5,5.7387928290972504e-5,6.457657115614423e-5,Soybean,soyb,1.1211929321289062,6.893960376666417e-5,5.118470394029783e-5,5.759630595737622e-5
ALB,fish-dominant,efficient,wheat,Wheat,15,0.0011936500102027311,0.0011936500102027311,0.0011936500102027311,Wheat,whea,230289.5552057028,5.183257265560831e-9,5.183257265560831e-9,5.183257265560831e-9
ALB,fish-dominant,efficient,wheat gluten,Wheat,15,0.0022167785903765007,0.0024699571676660356,0.0056628762856542544,Wheat,whea,230289.5552057028,9.626049207470115e-9,1.0725441566204694e-8,2.459024370686709e-8
ALB,fish-dominant,regular,corn gluten meal,Maize (corn),56,1.1078339647226898e-4,1.3947910550348236e-4,5.862502275126016e-5,Maize,maiz,410507.8589682579,2.6986912443212247e-10,3.397720712437504e-10,1.4281096322639046e-10
ALB,fish-dominant,regular,faba beans,"Broad beans and horse beans, dry",181,0.003945086760670272,0.003945086760670272,0.003945086760670272,Pulses,opul,25147.192047245335,1.5687981199882804e-7,1.5687981199882804e-7,1.5687981199882804e-7
ALB,fish-dominant,regular,soybean meal,Soya beans,236,8.63573796576949e-5,6.423885943994081e-5,7.222624040124273e-5,Soybean,soyb,1.1211929321289062,7.702276493459574e-5,5.729509846085536e-5,6.441910070205357e-5
ALB,fish-dominant,regular,wheat,Wheat,15,0.0013262777891141458,0.0013262777891141458,0.0013262777891141458,Wheat,whea,230289.5552057028,5.759174739512035e-9,5.759174739512035e-9,5.759174739512035e-9
ALB,fish-dominant,regular,wheat gluten,Wheat,15,0.0024630873226405567,0.0027443968529622625,0.006292084761838061,Wheat,whea,230289.5552057028,1.0695610230522351e-8,1.1917157295782997e-8,2.7322493007630102e-8
ALB,plant-dominant,efficient,canola oil,Rape or colza seed,270,1.0910161799887365e-8,4.292629883567077e-6,1.3004914691689564e-5,Rapeseed,rape,0.05980091542005539,1.824413844378782e-7,7.17820095798644e-5,2.174701607883433e-4
ALB,plant-dominant,efficient,coconut oil,"Coconuts, in shell",249,6.703728067030272e-5,1.3632798899507773e-4,2.415900204627857e-4,CropsNES,cnut,848839.9628939629,7.897517035101824e-11,1.606050550804567e-10,2.846119775500781e-10
ALB,plant-dominant,efficient,corn gluten meal,Maize (corn),56,1.7448384944382366e-5,2.1967959116798472e-5,9.233441083323476e-6,Maize,maiz,410507.8589682579,4.2504387098059296e-11,5.3514101220890686e-11,2.2492726708156497e-11
ALB,plant-dominant,efficient,faba beans,"Broad beans and horse beans, dry",181,0.33845635748385855,0.33845635748385855,0.33845635748385855,Pulses,opul,25147.192047245335,1.3459011918626264e-5,1.3459011918626264e-5,1.3459011918626264e-5
ALB,plant-dominant,efficient,guar meal,Other pulses n.e.c.,211,0.703600815384131,0.8958816692962692,0.003422022671195196,Pulses,opul,25147.192047245335,2.7979299400992352e-5,3.5625515071946396e-05,1.360797127872593e-7
ALB,plant-dominant,efficient,linseed oil,Linseed,333,8.926115492888188e-4,0.0014400915297032122,0.0013075786617911267,CropsNES,ooil,848839.9628939629,1.0515663591587098e-9,1.6965406821722749e-9,1.5404301387191752e-9
ALB,plant-dominant,efficient,pea flour,"Peas, dry; Peas, green",187,0.0692449390319488,0.0692449390319488,0.0692449390319488,Pulses,opul,25147.192047245335,2.7535853268171942e-6,2.7535853268171942e-6,2.7535853268171942e-6
ALB,plant-dominant,efficient,pea protein concentrate,"Peas, dry; Peas, green",187,0.002994463444846109,0.003715949984948638,0.3437527433555132,Pulses,opul,25147.192047245335,1.19077447661761e-7,1.4776798848822922e-7,1.3669627317025578e-5
ALB,plant-dominant,efficient,soy oil,Soya beans,236,1.3721657412842415e-6,2.3255807688615205e-6,2.2691403768967546e-6,Soybean,soyb,1.1211929321289062,1.2238444445763597e-6,2.074202130801644e-6,2.023862541291748e-6
ALB,plant-dominant,efficient,soy protein concentrate,Soya beans,236,1.1911828669565e-4,1.0211608352086212e-4,1.040484531194367e-4,Soybean,soyb,1.1211929321289062,1.0624245237567613e-4,9.107806568755786e-5,9.280155996155887e-5
ALB,plant-dominant,efficient,sunflower meal,Sunflower seed,267,0.11057058895134979,0.059268769115315034,0.04586315699674456,Sunflower,sunf,1123.0811549425125,9.845289315446629e-5,5.277336268575252e-5,4.083690372232465e-5
ALB,plant-dominant,efficient,wheat,Wheat,15,0.0011083892951882504,0.0011083892951882504,0.0011083892951882504,Wheat,whea,230289.5552057028,4.813024603735057e-9,4.813024603735057e-9,4.813024603735057e-9
ALB,plant-dominant,efficient,wheat gluten,Wheat,15,0.001671110014283824,0.0018619677110097812,0.004268937507647054,Wheat,whea,230289.5552057028,7.256560171785165e-9,8.08533287298508e-9,1.8537260640561347e-8
ALB,plant-dominant,regular,canola oil,Rape or colza seed,270,1.212240199987485e-8,1.9572275633704034e-5,2.925259208717346e-5,Rapeseed,rape,0.05980091542005539,2.0271264937542024e-7,3.272905689858402e-4,4.891662925508167e-4
ALB,plant-dominant,regular,coconut oil,"Coconuts, in shell",249,7.448586741144747e-5,1.5147554332786415e-4,2.6843335606976194e-4,CropsNES,cnut,848839.9628939629,8.775018927890915e-11,1.7845006120050746e-10,3.16235530611198e-10
ALB,plant-dominant,regular,corn gluten meal,Maize (corn),56,1.9387094382647076e-5,2.4408843463109416e-5,1.0259378981470529e-5,Maize,maiz,410507.8589682579,4.722709677562145e-11,5.946011246765632e-11,2.4991918564618333e-11
