Alsodes hugoi
Alsodes igneus
Alsodes kaweshkari
Alsodes montanus
Alsodes neuquensis
Alsodes nodosus
Alsodes norae
Alsodes valdiviensis
Alsodes vanzolinii
Alsodes verrucosus
Alsophis antillensis
Alsophis sibonius
Alsophylax laevis
Alsophylax loricatus
Alsophylax pipiens
Alsophylax przewalskii
Alsophylax szczerbaki
Alsophylax tadjikiensis
Alticola albicaudus
Alticola argentatus
Alticola barakshin
Alticola lemminus
Alticola macrotis
Alticola montosa
Alticola olchonensis
Alticola roylei
Alticola semicanus
Alticola stoliczkanus
Alticola strelzowi
Alticola tuvinicus
Altiphrynoides malcolmi
Altiphylax baturensis
Altiphylax levitoni
Altiphylax stoliczkai
Alytes cisternasii
Alytes dickhilleni
Alytes maurus
Alytes muletensis
Amadina erythrocephala
Amadina fasciata
Amalocichla incerta
Amalocichla sclateriana
Amalosia jacovae
Amalosia lesueurii
Amalosia rhombifer
Amandava amandava
Amandava formosa
Amapasaurus tetradactylus
Amastridium sapperi
Amastridium veliferum
Amaurocichla bocagii
Amaurolimnas concolor
Amaurornis isabellina
Amaurornis magnirostris
Amaurornis marginalis
Amaurornis moluccana
Amaurornis olivacea
Amaurospiza relicta
Amazilia boucardi
Amazilia cyanifrons
Amazilia franciae
Amazilia luciae
Amazilia rutila
Amazilia tzacatl
Amazilia yucatanensis
Amazilis amazilia
Amazona aestiva
Amazona agilis
Amazona albifrons
Amazona amazonica
Amazona arausiaca
Amazona auropalliata
Amazona autumnalis
Amazona barbadensis
Amazona bodini
Amazona brasiliensis
Amazona collaria
Amazona diadema
Amazona dufresniana
Amazona farinosa
Amazona festiva
Amazona finschi
Amazona guatemalae
Amazona guildingii
Amazona imperialis
Amazona kawalli
Amazona leucocephala
Amazona lilacina
Amazona mercenarius
Amazona ochrocephala
Amazona oratrix
Amazona pretrei
Amazona rhodocorytha
Amazona tucumana
Amazona ventralis
Amazona versicolor
Amazona vinacea
Amazona viridigenalis
Amazona vittata
Amazona xantholora
Amazonetta brasiliensis
Amazophrynella bokermanni
Amazophrynella minuta
Amblycercus holosericeus
Amblyodipsas concolor
Amblyodipsas katangensis
Amblyodipsas microphthalma
Amblyodipsas polylepis
Amblyodipsas rodhaini
Amblyodipsas teitana
Amblyodipsas unicolor
Amblyodipsas ventrimaculata
Amblyornis flavifrons
Amblyornis inornata
Amblyornis macgregoriae
Amblyornis subalaris
Amblyramphus holosericeus
Amblysomus corriae
Amblysomus hottentotus
Amblysomus marleyi
Amblysomus robustus
Amblysomus septentrionalis
Ambystoma altamirani
Ambystoma annulatum
Ambystoma barbouri
Ambystoma bishopi
Ambystoma californiense
Ambystoma cingulatum
Ambystoma flavipiperatum
Ambystoma gracile
Ambystoma granulosum
Ambystoma jeffersonianum
Ambystoma laterale
Ambystoma mabeei
Ambystoma macrodactylum
Ambystoma maculatum
Ambystoma mavortium
Ambystoma opacum
Ambystoma ordinarium
Ambystoma rivulare
Ambystoma rosaceum
Ambystoma silvense
Ambystoma talpoideum
Ambystoma texanum
Ambystoma tigrinum
Ambystoma velasci
Ameerega bassleri
Ameerega berohoka
Ameerega bilinguis
Ameerega boehmei
Ameerega boliviana
Ameerega braccata
Ameerega cainarachi
Ameerega flavopicta
Ameerega hahneli
Ameerega ignipedis
Ameerega macero
Ameerega parvula
Ameerega pepperi
Ameerega petersi
Ameerega picta
Ameerega pongoensis
Ameerega pulchripecta
Ameerega rubriventris
Ameerega shihuemoy
Ameerega silverstonei
Ameerega simulans
Ameerega trivittata
Ameerega yoshina
