Antechinus minimus
Antechinus stuartii
Antechinus subtropicus
Antechinus swainsonii
Anthipes monileger
Anthipes solitaris
Anthobaphes violacea
Anthocephala berlepschi
Anthocephala floriceps
Anthochaera carunculata
Anthochaera chrysoptera
Anthochaera lunulata
Anthochaera paradoxa
Anthochaera phrygia
Anthops ornatus
Anthornis melanura
Anthoscopus caroli
Anthoscopus flavifrons
Anthoscopus minutus
Anthoscopus musculus
Anthoscopus parvulus
Anthoscopus punctifrons
Anthoscopus sylviella
Anthracoceros albirostris
Anthracoceros coronatus
Anthracoceros malayanus
Anthracoceros marchei
Anthracothorax aurulentus
Anthracothorax dominicus
Anthracothorax mango
Anthracothorax nigricollis
Anthracothorax prevostii
Anthracothorax veraguensis
Anthracothorax viridigula
Anthracothorax viridis
Anthreptes anchietae
Anthreptes aurantius
Anthreptes gabonicus
Anthreptes griseigularis
Anthreptes longuemarei
Anthreptes malacensis
Anthreptes neglectus
Anthreptes orientalis
Anthreptes rectirostris
Anthreptes reichenowi
Anthreptes rhodolaemus
Anthreptes rubritorques
Anthreptes seimundi
Anthreptes simplex
Anthreptes tephrolaemus
Anthropoides paradiseus
Anthropoides virgo
Anthus berthelotii
Anthus bogotensis
Anthus brachyurus
Anthus caffer
Anthus campestris
Anthus cervinus
Anthus chacoensis
Anthus cinnamomeus
Anthus correndera
Anthus crenatus
Anthus furcatus
Anthus godlewskii
Anthus gustavi
Anthus gutturalis
Anthus hellmayri
Anthus hodgsoni
Anthus hoeschi
Anthus leucophrys
Anthus lineiventris
Anthus lutescens
Anthus melindae
Anthus nattereri
Anthus nilghiriensis
Anthus novaeseelandiae
Anthus nyassae
Anthus pallidiventris
Anthus peruvianus
Anthus petrosus
Anthus pratensis
Anthus richardi
Anthus roseatus
Anthus rubescens
Anthus rufulus
Anthus similis
Anthus sokokensis
Anthus spinoletta
Anthus spragueii
Anthus sylvanus
Anthus trivialis
Anthus vaalensis
Antidorcas marsupialis
Antigone antigone
Antigone canadensis
Antigone rubicunda
Antigone vipio
Antilocapra americana
Antilope cervicapra
Antilophia galeata
Antrostomus arizonae
Antrostomus badius
Antrostomus carolinensis
Antrostomus cubanensis
Antrostomus ekmani
Antrostomus noctitherus
Antrostomus ridgwayi
Antrostomus rufus
Antrostomus salvini
Antrostomus saturatus
Antrostomus sericocaudatus
Antrostomus vociferus
Antrozous pallidus
Anumbius annumbi
Anurophasis monorthonyx
Aonyx capensis
Aonyx cinereus
Aonyx congicus
Aotus azarae
Aotus brumbacki
Aotus griseimembra
Aotus jorgehernandezi
Aotus lemurinus
Aotus miconax
Aotus nancymaae
Aotus nigriceps
Aotus trivirgatus
Aotus vociferans
Aotus zonalis
Apalharpactes mackloti
Apalharpactes reinwardtii
Apalis alticola
Apalis argentea
Apalis bamendae
Apalis binotata
Apalis chapini
Apalis chariessa
Apalis chirindensis
Apalis cinerea
Apalis flavida
Apalis flavigularis
Apalis flavocincta
Apalis fuscigularis
Apalis goslingi
Apalis jacksoni
Apalis kaboboensis
Apalis karamojae
Apalis lynesi
Apalis melanocephala
Apalis nigriceps
Apalis personata
Apalis porphyrolaema
Apalis ruddi
Apalis rufogularis
Apalis sharpii
Apalis thoracica
Apaloderma aequatoriale
Apaloderma narina
Apaloderma vittatum
Aphanotriccus audax
Aphanotriccus capitalis
Aphantochroa cirrochloris
Aphelocephala leucopsis
Aphelocephala nigricincta
Aphelocephala pectoralis
Aphelocoma californica
Aphelocoma coerulescens
Aphelocoma ultramarina
Aphelocoma unicolor
Aphelocoma wollweberi
Aphrastura spinicauda
Aphrodroma brevirostris
Aplodontia rufa
Aplonis brunneicapillus
Aplonis cantoroides
Aplonis crassa
Aplonis dichroa
Aplonis grandis
Aplonis magna
Aplonis metallica
Aplonis minor
Aplonis mysolensis
Aplonis mystacea
Aplonis panayensis
Aplonis striata
Aplonis tabuensis
Aplonis zelandica
Aplopelia larvata
Apodemus agrarius
Apodemus alpicola
Apodemus argenteus
Apodemus avicennicus
Apodemus chevrieri
Apodemus draco
Apodemus epimelas
Apodemus flavicollis
Apodemus gurkha
Apodemus hyrcanicus
Apodemus latronum
Apodemus mystacinus
Apodemus pallipes
Apodemus peninsulae
Apodemus ponticus
Apodemus rusiges
Apodemus semotus
Apodemus speciosus
Apodemus sylvaticus
Apodemus uralensis
Apodemus witherbyi
Apomys abrae
Apomys aurorae
Apomys brownorum
Apomys datae
Apomys gracilirostris
Apomys hylocetes
Apomys insignis
Apomys iridensis
Apomys littoralis
Apomys magnus
Apomys microdon
Apomys musculus
Apomys sacobianus
Apomys sierrae
Apomys zambalensis
Aprositornis disjuncta
Aprosmictus erythropterus
Aprosmictus jonquillaceus
Aproteles bulmerae
Aptenodytes patagonicus
Apteryx australis
Apteryx haastii
Apteryx mantelli
Apus acuticauda
Apus affinis
Apus alexandri
Apus apus
Apus balstoni
Apus barbatus
Apus batesi
Apus berliozi
Apus bradfieldi
Apus caffer
Apus horus
Apus niansae
Apus nipalensis
Apus pacificus
Apus pallidus
Apus sladeniae
Apus unicolor
Aquila adalberti
Aquila africana
Aquila audax
Aquila chrysaetos
Aquila fasciata
Aquila gurneyi
Aquila heliaca
Aquila nipalensis
Aquila rapax
Aquila spilogaster
Aquila verreauxii
Ara ambiguus
Ara ararauna
Ara chloropterus
Ara glaucogularis
Ara macao
Ara militaris
